EVTNAME_ExIsJS_101;Violating Kosher Laws;;;;;;;;;;;;;x
EVTDESC_ExIsJS_101;You have been caught violating the dietary laws of Leviticus.;;;;;;;;;;;;;x
EVTOPTA_ExIsJS_101;My liege will hear of it!;;;;;;;;;;;;;x
EVTNAME_ExIsJS_102;Kosher Law Violation;;;;;;;;;;;;;x
EVTDESC_ExIsJS_102;[From.GetFullName] has been caught breaking the dietary laws of Leviticus.;;;;;;;;;;;;;x
EVTOPTA_ExIsJS_102;[From.GetFullName] shall pay a fine and do ritual purification.;;;;;;;;;;;;;x
EVTOPTB_ExIsJS_102;[From.GetFullName] shall do ritual sacrifices and purification!;;;;;;;;;;;;;x
EVTOPTC_ExIsJS_102;[From.GetFullName] shall only do ritual purification.;;;;;;;;;;;;;x
EVTNAME_ExIsJS_103;Adultery;;;;;;;;;;;;;x
EVTDESC_ExIsJS_103;I have been caught committing adultery.;;;;;;;;;;;;;x
EVTOPTA_ExIsJS_103;My liege will hear of it!;;;;;;;;;;;;;x
EVTNAME_ExIsJS_104;Adultery;;;;;;;;;;;;;x
EVTDESC_ExIsJS_104;[From.GetFullName] has been caught committing adultery.;;;;;;;;;;;;;x
EVTOPTA_ExIsJS_104;[From.GetFullName] shall pay a fine!;;;;;;;;;;;;;x
EVTOPTB_ExIsJS_104;[From.GetFullName] shall be imprisoned!;;;;;;;;;;;;;x
EVTOPTC_ExIsJS_104;[From.GetFullName] shall be put to death as ordained by G-D!;;;;;;;;;;;;;x
EVTNAME_ExIsJS_105;Sibling Incest;;;;;;;;;;;;;x
EVTDESC_ExIsJS_105:I have been caught having sexual relations with my sibling.;;;;;;;;;;;;;x
EVTOPTA_ExIsJS_105;My liege will hear of it!;;;;;;;;;;;;;x
EVTNAME_ExIsJS_106;Sibling Incest;;;;;;;;;;;;;x
EVTDESC_ExIsJS_106;[From.GetFullName] has been caught having incest their sibling.;;;;;;;;;;;;;x
EVTOPTA_ExIsJS_106;[From.GetFullName] shall pay a fine!;;;;;;;;;;;;;x
EVTOPTB_ExIsJS_106;[From.GetFullName] shall be imprisoned!;;;;;;;;;;;;;x
EVTOPTC_ExIsJS_106;[From.GetFullName] shall be put to death as commanded by the Lord!;;;;;;;;;;;;;x
EVTNAME_ExIsJS_107;Father-Daughter Incest;;;;;;;;;;;;;x
EVTDESC_ExIsJS_107:We have been caught having sexual relations.;;;;;;;;;;;;;x
EVTOPTA_ExIsJS_107;Our liege shall hear of it!;;;;;;;;;;;;;x
EVTNAME_ExIsJS_108;Father-Daughter Incest;;;;;;;;;;;;;x
EVTDESC_ExIsJS_108;[From.GetFullName] and his daughter have been caught having sex.;;;;;;;;;;;;;x
EVTOPTA_ExIsJS_108;[From.GetFullName] shall pay a fine!;;;;;;;;;;;;;x
EVTOPTB_ExIsJS_108;[From.GetFullName] shall be imprisoned!;;;;;;;;;;;;;x
EVTOPTC_ExIsJS_108;[From.GetFullName] shall be put to death!;;;;;;;;;;;;;x
EVTNAME_ExIsJS_109;Mother-Son Incest;;;;;;;;;;;;;x
EVTDESC_ExIsJS_109:We have been caught having sexual relations.;;;;;;;;;;;;;x
EVTOPTA_ExIsJS_109;My liege will hear of it!;;;;;;;;;;;;;x
EVTNAME_ExIsJS_110;Mother-Son Incest;;;;;;;;;;;;;x
EVTDESC_ExIsJS_110;[From.GetFullName] and her son have been caught having sexual relations.;;;;;;;;;;;;;x
EVTOPTA_ExIsJS_110;[From.GetFullName] shall pay a fine!;;;;;;;;;;;;;x
EVTOPTB_ExIsJS_110;[From.GetFullName] shall be imprisoned!;;;;;;;;;;;;;x
EVTOPTC_ExIsJS_110;[From.GetFullName] shall be put to death!;;;;;;;;;;;;;x
EVTNAME_ExIsJS_111;Homosexual;;;;;;;;;;;;;x
EVTDESC_ExIsJS_111:You have been found out to be a homosexual.;;;;;;;;;;;;;x
EVTOPTA_ExIsJS_111;My liege will hear of it!;;;;;;;;;;;;;x
EVTNAME_ExIsJS_112;Homosexual;;;;;;;;;;;;;x
EVTDESC_ExIsJS_112;[From.GetFullName] has been found out to be having sexual relations with the same sex.;;;;;;;;;;;;;x
EVTOPTA_ExIsJS_112;[From.GetFullName] shall pay a fine!;;;;;;;;;;;;;x
EVTOPTB_ExIsJS_112;[From.GetFullName] shall be imprisoned!;;;;;;;;;;;;;x
EVTOPTC_ExIsJS_112;[From.GetFullName] shall be put to death!;;;;;;;;;;;;;x
