ExIs;Expanded Israel;;;;;;;;;;;;;x
ExIs_JS;Expanded Israel Jewish Sins;;;;;;;;;;;;;x
ExIs_KS;Expanded Israel Kohen Sins;;;;;;;;;;;;;x
ExIs_event_modifiers;Expanded Israel Event Modifiers;;;;;;;;;;;;;x
ExIs_decisions;Expanded Israel Decisions;;;;;;;;;;;;;x
ExIs_minor_decisions;Expanded Israel Minor Decisions;;;;;;;;;;;;;x
ExIs_realm_decisions; Expanded Israel Realm Decisions;;;;;;;;;;;;;x
ExIs_employment_decisions;Expanded Israel Employment Decisions;;;;;;;;;;;;;x
ExIs_events;Expanded Israel Events;;;;;;;;;;;;;x
ExIs_eventwindow;Expanded Israel Event Window;;;;;;;;;;;;;x
MROA;Expanded Israel On Actions;;;;;;;;;;;;;x
MR_desc_loc;Monotheism Rising description localisation;;;;;;;;;;;;;x
jerusalem_taken_by_jews;Jerusalem Taken By Jews.;;;;;;;;;;;;;x
DECISIONS;Decisions;;;;;;;;;;;;;x
israel;Israelite Characters;;;;;;;;;;;;;x
levite_desc;This character belongs to the Tribe of Levi. It is the Israelite tribe of priests and scholars.;;;;;;;;;;;;;x
TOOLTIPLEVITE;A Levite denotes a member of the Tribe of Levi and that they are priests.;;;;;;;;;;;;;x
malkhut_ben_dawid_desc;This character belongs to the the dynasty of the Royal House of David.;;;;;;;;;;;;;x
lowborn_desc;This character belongs to the other Tribes of Israel. They can be from low born persons to Adon's under the rulership of Malkhut ben Dawid.;;;;;;;;;;;;;x
the_hamashiakh;The HaMashiakh;;;;;;;;;;;;;x
the_hamashiakh_desc;This character is the promised Messiah to the Jewish people.;;;;;;;;;;;;;x
hamashiakh;HaMashiakh;;;;;;;;;;;;;x
hamashiakh_desc;This character is the promised Messiah to the Jewish people.;;;;;;;;;;;;;x
ben_hamashiakh;Ben HaMashiakh;;;;;;;;;;;;;x
ben_hamashiakh_desc;This character is the child or related to the Messiah of the Jews.;;;;;;;;;;;;;x
mizrahi;Mizrahi;;;;;;;;;;;;;x
mizrahi_desc;Mizrahi's are Jewish people from the first diaspora that began when the Babylonians expelled many Jews from Israel in 722 BC.;;;;;;;;;;;;;x
TOOLTIPMIZRAHI;Mizrahi's are Jewish people from the first diaspora that began when the Babylonians expelled many Jews from Israel in 722 BC.;;;;;;;;;;;;;x
melech;Melech;;;;;;;;;;;;;x
melech_desc;Melech is the ancient Hebrew name for King.;;;;;;;;;;;;;x
TOOLTIPMELECH;;Melech is the ancient Hebrew name for King.;;;;;;;;;;;;;x
malkah;Malkah;;;;;;;;;;;;;x
malkah_desc;Malkah is the ancient Hebrew name for Queen.;;;;;;;;;;;;;x
TOOLTIPMALKAH;Malkah is the ancient Hebrew name for Queen.;;;;;;;;;;;;;x
duke_jewish_group;Adon;;;;;;;;;;;;;x
duke_female_jewish_group;Adonit;;;;;;;;;;;;;x
count_jewish_group;Rozen;;;;;;;;;;;;;x
count_female_jewish_group;Rozen;;;;;;;;;;;;;x
kohen;Kohen;;;;;;;;;;;;;x
kohen_desc;Kohens are the priests from the Tribe of Levi that administer the Jewish rites.;;;;;;;;;;;;;x
TOOLTIPKOHEN;Kohens are the priests from the Tribe of Levi that administer the Jewish rites.;;;;;;;;;;;;;x
levite;Levite;;;;;;;;;;;;;x
title_prince_jewish_group;Nasich;;;;;;;;;;;;;x
title_prince_female_jewish_group;Nesichah;;;;;;;;;;;;;x
job_chancellor_jewish_group;Shagrir;;;;;;;;;;;;;x
job_marshal_jewish_group;Sar HaTzava;;;;;;;;;;;;;x
job_treasurer_jewish_group;Sar HaOtzar;;;;;;;;;;;;;x
job_spymaster_jewish_group;Rav-Meraglim;;;;;;;;;;;;;x
job_spiritual_jewish_group;Kohen HaKhatzer;;;;;;;;;;;;;x
king_jewish;Melech_group;;;;;;;;;;;;;x
king_female_jewish_group;Malkah;;;;;;;;;;;;;x
emperor_jewish_group;Melech HaMelachim;;;;;;;;;;;;;x
emperor_female_jewish_group;Malkat HaMelachim;;;;;;;;;;;;;x
barony_of_jewish_group;Roznoot;;;;;;;;;;;;;x
county_of_jewish_group;Mekhoz;;;;;;;;;;;;;x
duchy_of_jewish_group;Dochsoot;;;;;;;;;;;;;x
kingdom_of_jewish_group;Mamlacha;;;;;;;;;;;;;x
empire_of_jewish_group;Empire;;;;;;;;;;;;;x
temple_baron_karaite;Kohen;;;;;;;;;;;;;x
temple_baron_temple_judaism;Kohen;;;;;;;;;;;;;x
