#CODE;ENGLISH;;;;;;;;;x 
FotR_declare_republic;Declare the [Root.PrimaryTitle.GetAdjective] Republic;;;;;;;;;x 
FotR_declare_republic_desc;From this day forth I, as Patrician of [From.GetOnlyDynastyName], shall rule the [Root.PrimaryTitle.GetFullName] as its Prince Mayor. Glory to the Republic and its Citizens!;;;;;;;;;x 
FotR_declare_republic_wayoflife_no;The '§GWay of Life§!' DLC is not being used\n;;;;;;;;;x 
FotR_declare_republic_wayoflife_yes;Has '§YBusiness§!' focus or is of '§YVaishya§!' caste\n;;;;;;;;;x 
FotR_declare_republic_coastalcapital;Capital §Y([Root.Capital.GetName])§! is a Coastal Province\n;;;;;;;;;x 
FotR_declare_republic_cityincapital;Personally holds a §YCity§! in §Y[Root.Capital.GetName]§!\n;;;;;;;;;x 
FotR_declare_republic_notradeposts;No Merchant Republic has §YTrade Posts§! within §Y[Root.GetTitledName]'s§! demesne\n;;;;;;;;;x 
FotR_declare_republic_becomerepublic;§Y[Root.PrimaryTitle.GetFullName]§!: Becomes a Merchant Republic\n;;;;;;;;;x 
FotR_declare_republic_temptitlename;Founders of The [Root.PrimaryTitle.GetAdjective] Republic;;;;;;;;;x 
FotR_founded_republic_positive;Founded Republic;;;;;;;;;x 
FotR_founded_republic_negative;Founded Republic;;;;;;;;;x 
FoTR.EVTNAME_RepublicFounded;The [Root.PrimaryTitle.GetAdjective] Republic;;;;;;;;;x 
FoTR.EVTDESC_RepublicFounded;Traders have brought you word that [From.GetFullName] of [From.PrimaryTitle.GetName] has renounced [Root.GetHerHis] feudal title and, as Patrician of [From.GetOnlyDynastyName] and in accordance of the will of the people, now rules as [From.GetTitle].\n\n[From.GetSheHeCap] has sent out a call to all true [From.PrimaryTitle.GetAdjective] sons to return to their homeland and with [From.GetHerHim] build [From.MercRepCapital.GetName] into a Grand City worthy of the new Merchant Republic.;;;;;;;;;x 
FoTR.EVTOPTA_WeFoundedRepublic;Glory to the Republic and its Citizens!;;;;;;;;;x 
FoTR.EVTOPTB_TheyFoundedRepublic_noble;What insanity is this...?;;;;;;;;;x 
FoTR.EVTOPTC_TheyFoundedRepublic_merchant;As if I needed more competition...;;;;;;;;;x 
FotR_chronicle;[Root.GetDynName] founded a merchant republic in [Root.GetHerHis] domains, abandoning the old feudal ways.;;;;;;;;;x 
