#Augustus and Company Traits

augustus;Augustus;;;;;;;;;x 
augustus_desc;This character is the current ruler of the restored Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
augusta;Augusta;;;;;;;;;x 
augusta_desc;This character is the current ruler of the restored Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
autokrator;Autokrator;;;;;;;;;x 
autokrator_desc;This character is the current ruler of the Eastern Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
autokrateira;Autokrateira;;;;;;;;;x 
autokrateira_desc;This character is the current ruler of the Eastern Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 

#Augustus and Company Compliments

COMPL_AUGUSTUS;Augustus;;;;;;;;;x 
COMPL_AUGUSTA;Augusta;;;;;;;;;x 
COMPL_AUTOKRATOR;Autokrator;;;;;;;;;x 
COMPL_AUTOKRATEIRA;Autokrateira;;;;;;;;;x 

#Augustus and Company Gain and Loss Events

#Augustus
EVTDESCSRF_RRT.1;You are the current Emperor of the glorious Roman Empire. May your reign be a prosperous one!;;;;;;;;;;;;;x
EVTOPTASRF_RRT.1;Hail Caesar!;;;;;;;;;;;;;x
EVTDESCSRF_RRT.2;You are no longer the Emperor of the Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;;;;;x
EVTOPTASRF_RRT.2;What a loss for the Empire!;;;;;;;;;;;;;x

#Augusta
EVTDESCSRF_RRT.3;You are the current Empress of the glorious Roman Empire. May your reign be a prosperous one!;;;;;;;;;;;;;x
EVTOPTASRF_RRT.3;Hail Caesar!;;;;;;;;;;;;;x
EVTDESCSRF_RRT.4;You are no longer the Empress of the Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;;;;;x
EVTOPTASRF_RRT.4;What a loss for the Empire!;;;;;;;;;;;;;x

#Autokrator
EVTDESCSRF_RRT.5;You are the current Emperor of the glorious Eastern Roman Empire. May your reign be a prosperous one!;;;;;;;;;;;;;x
EVTOPTASRF_RRT.5;Hail Caesar!;;;;;;;;;;;;;x
EVTDESCSRF_RRT.6;You are no longer the Emperor of the Eastern Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;;;;;x
EVTOPTASRF_RRT.6;What a loss for the Empire!;;;;;;;;;;;;;x

#Autokrateira
EVTDESCSRF_RRT.7;You are the current Empress of the glorious Eastern Roman Empire. May your reign be a prosperous one!;;;;;;;;;;;;;x
EVTOPTASRF_RRT.7;Hail Caesar!;;;;;;;;;;;;;x
EVTDESCSRF_RRT.8;You are no longer the Empress of the Eastern Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;;;;;x
EVTOPTASRF_RRT.8;What a loss for the Empire!;;;;;;;;;;;;;x
