#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1034;Sea of Sicily;;;;;;;;;;;;;x
PROV1048;Coast of Norway;;;;;;;;;;;;;x
PROV1049;Meuse;;;;;;;;;;;;;x
PROV1050;Meuse;;;;;;;;;;;;;x
PROV1052;Dnieper;;;;;;;;;;;;;x
PROV1053;Gulf of Gabes;;;;;;;;;;;;;x
PROV1054;Lake Balaton;;;;;;;;;;;;;x
PROV1055;Lake Sevan;;;;;;;;;;;;;x
PROV1065;Lake Van;;;;;;;;;;;;;x
PROV1066;Lake Urmia;;;;;;;;;;;;;x
PROV1067;Lake Garda;;;;;;;;;;;;;x
PROV1068;Lake Tana;;;;;;;;;;;;;x
PROV1069;Rutbah;;;;;;;;;;;;;x
PROV1101;Lake Beloye;;;;;;;;;;;;;x
PROV908;Rub' al Khali;;;;;;;;;;;;;x
PROV986;Coast of Vestlandet;;;;;;;;;;;;;x
PROV987;Coast of Finnmark;;;;;;;;;;;;;x
