pagan;Animist;;;;;;;;;x
norse_pagan;Germanic;;;;;;;;;x 
norse_pagan_reformed;Asatru;;;;;;;;;x 
tengri_pagan;Altaic;;;;;;;;;x 
tengri_pagan_reformed;Tengrist;;;;;;;;;x 
baltic_pagan;Baltic;;;;;;;;;x 
baltic_pagan_reformed;Romuva;;;;;;;;;x 
finnish_pagan;Finnish;;;;;;;;;x 
finnish_pagan_reformed;Suomenusko;;;;;;;;;x 
slavic_pagan;Slavic;;;;;;;;;x 
slavic_pagan_reformed;Rodnovery;;;;;;;;;x 
west_african_pagan;African;;;;;;;;;x 
west_african_pagan_reformed;Akkan;;;;;;;;;x 
zun_pagan;Zunist;;;;;;;;;x 
zun_pagan_reformed;Solar;;;;;;;;;x 
pagan_DESC;Animism is the most basic form of paganism. Animism holds that all objects, places, and creatures posses a spiritual essence. Nature spirits predominate in Animist societies, and the roots of all of the major pagan faiths can be traced back to Animism. At present, Animism is used to represent Celtic, Basque, Egyptian, and Kushite pagans. \n§Y*§! Succession laws are dependent on Crown Authority;;;;;;;;;x 
norse_pagan_DESC;In the Early Middle Ages, the ancient Germanic belief system is still dominant in Scandinavia and northern Germany. A pantheon of gods under the wise warrior god Odin (or Wodan) rules all the branches of the worldtree, Yggdrasil. The other two main gods are Thor (Thunar), friend to mankind, and Frey, god of fertility. \n§Y*§! Succession laws are dependent on Crown Authority;;;;;;;;;x 
tengri_pagan_DESC;Altaic paganism is the religion of the steppe peoples of Eurasia, especially Turkish and Mongol nomads. The chief god is Tengri, the creator god who rules the skies. Shamanism and animism also feature prominently in the religion. \n§Y*§! Succession laws are dependent on Crown Authority;;;;;;;;;x 
baltic_pagan_DESC;Baltic paganism is polytheistic, with a pantheon of gods led by Dievs, god of the sky. Other main gods include Perkunas, god of thunder and lightning, very similar to the Germanic god Thor and the Slavic Perun. Other important deities include Saule, goddess of the sun and fertility, Daugava and Meness. \n§Y*§! Succession laws are dependent on Crown Authority;;;;;;;;;x 
finnish_pagan_DESC;Finnish paganism is diverse, varying a lot between tribes and regions. It is shamanistic and animist, revering a multitude of gods, including Ukko/Perkele, Kuu and, in the east, Mastor-Ava, goddess of the Earth. \n§Y*§! Succession laws are dependent on Crown Authority;;;;;;;;;x 
aztec_DESC;The Aztec religion features a creation myth centered on sacrifice - even gods were sacrificed to keep the sun moving. This is reflected in the many festivals and rituals of the religion, which feature human sacrifice on a massive scale. The chief gods are Huitzilopochtli, god of war and human sacrifice, Tlaloc, god of thunder and rain, Xiuhtecuhtli, god of fire, and Quetzalcoatl, god of wisdom. \n§Y*§! Succession laws are dependent on Crown Authority;;;;;;;;;x 
slavic_pagan_DESC;Slavic heathenry is polytheistic, the chief god being Perun, god of thunder and lightning, quite similar to the Germanic god Thor. Other important deities include Veles, god of the underworld, Svarog, Jarilo and Svantevit. In addition, many tribes revere local gods. \n§Y*§! Succession laws are dependent on Crown Authority;;;;;;;;;x 
west_african_pagan_DESC;The African Pagan religion is less a centralised faith than a collection of tribal beliefs. Ancestor worship, animism and totemistic shamanism dominate, but there also various pantheons of gods, the chief of whom is Nyame, the Sky Father. \n§Y*§! Succession laws are dependent on Crown Authority;;;;;;;;;x 
zun_pagan_DESC;Zun, the Giver of Justice, is the sun-god originally worshipped by the Zunbil dynasty in Afghanistan. Zun embodies wisdom, power, fire and the light that drives away the night. \n§Y*§! Succession laws are dependent on Crown Authority;;;;;;;;;x 
