EVTDESCPA.10000;You are the current ruler of the glorious Roman Empire. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10001;You are no longer the ruler of the Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;x 
EVTDESCPA.10002;I have been Born in the Purple!;;;;;;;;;x 
EVTDESCPA.10003;A child has been born in the purple room of the Imperial Palace, strengthening their claim to the throne.;;;;;;;;;x 
EVTDESCPA.10004;One of the eunuchs at the Imperial Court has distinguished himself and caught the attention of your advisors. Though they are usually of the jealous kind and loathe to admit redeeming qualities in others, even they cannot deny the promise of this young man.;;;;;;;;;x 
EVTOPTAPA_10004;Very well. Bring this man before me.;;;;;;;;;x 
EVTOPTBPA_10004;He should be cleaning floors and watching over women.;;;;;;;;;x 
born_in_the_purple2;Born in the Purple;;;;;;;;;x 
born_in_the_purple2_desc;This character was "born in the purple" - a high honour in the realm. It is a special trait bestowed only to children born of a ruling monarch in the purple chamber of the palace.;;;;;;;;;x 
augustus;Augustus;;;;;;;;;x 
augustus_desc;This character is the current ruler of the restored Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
augusta;Augusta;;;;;;;;;x 
augusta_desc;This character is the current ruler of the restored Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
baron_roman;Nobilus;;;;;;;;;x 
baron_female_roman;Nobilia;;;;;;;;;x 
barony_of_roman;Castra of;;;;;;;;;x 
city_baron_roman;Curator;;;;;;;;;x 
count_roman;Comes;;;;;;;;;x 
count_female_roman;Comitissa;;;;;;;;;x 
county_of_roman;Comitatus of;;;;;;;;;x 
city_count_roman;Prefect;;;;;;;;;x 
duke_roman;Dux;;;;;;;;;x 
duke_female_roman;Ducissa;;;;;;;;;x 
duchy_of_roman;Ducate of;;;;;;;;;x 
city_duke_of_Roman;Proconsul;;;;;;;;;x 
city_duchy_of_roman;Province of;;;;;;;;;x 
king_roman;Rex;;;;;;;;;x 
king_female_roman;Regina;;;;;;;;;x 
city_king_roman;Consul;;;;;;;;;x 
city_kingdom_of_roman;Republic of;;;;;;;;;x 
emperor_roman;Imperator;;;;;;;;;x 
emperor_female_roman;Imperatrix;;;;;;;;;x 
city_emperor_roman;Princeps;;;;;;;;;x 
city_empire_of_roman;Republic of;;;;;;;;;x 
revive_roman_culture;Revive Roman Culture;;;;;;;;;x 
revive_roman_culture_desc;Rome has been restored to its former glory, but its once rich language and culture is dead. You can attempt to restore it if you wish.;;;;;;;;;x 
roman_culture;[From.GetTitledName] becomes Roman.;;;;;;;;;x 
build_imperial_walls;Build the Imperial Walls;;;;;;;;;x 
build_imperial_walls_desc;The Aurelian Walls are no longer strong enough to protect Rome. The city needs a new set of fortifications worthy of its status as an Imperial capital.;;;;;;;;;x 
RETTYPE_CUL_ROMAN;Legionary;;;;;;;;;x 
ca_culture_roman_1;Legionary Training Ground;;;;;;;;;x 
ca_culture_roman_2;Legionary Training Ground;;;;;;;;;x 
ca_culture_roman_3;Legionary Training Ground;;;;;;;;;x 
ca_culture_roman_4;Legionary Training Ground;;;;;;;;;x 
ca_culture_roman_1_desc;Legionary units are patterned after the comitatenses of Constantine, and include both heavy infantry and pikemen. They are well equipped shock troops which can deal heavy damage.;;;;;;;;;x 
RETTYPE_CUL_ROMAN2;Clibanarii;;;;;;;;;x 
tp_rom_wall_6;Aurelian Walls;;;;;;;;;x 
tp_rom_wall_6_desc;The Aurelian Walls were built in the 3rd century to protect Rome. They encompass all of the cities seven hills, protecting them from siege.;;;;;;;;;x 
ca_rom_wall_6;Aurelian Walls;;;;;;;;;x 
ca_rom_wall_6_desc;The Aurelian Walls were built in the 3rd century to protect Rome. They encompass all of the cities seven hills, protecting them from siege.;;;;;;;;;x 
