patrons_nor;Choose;;;;;;;;;x 
patrons_nor_desc;You;;;;;;;;;x 
PATRONS_NOR.1.desc;I;;;;;;;;;x 
PATRONS_NOR.1.a;Forseti,;;;;;;;;;x 
PATRONS_NOR.1.b;Thor,;;;;;;;;;x 
PATRONS_NOR.1.c;Njordr,;;;;;;;;;x 
PATRONS_NOR.1.d;There;;;;;;;;;x 
PATRONS_NOR.2.desc;These;;;;;;;;;x 
PATRONS_NOR.2.a;Loki,;;;;;;;;;x 
PATRONS_NOR.2.b;Odin,;;;;;;;;;x 
PATRONS_NOR.2.c;Freyja,;;;;;;;;;x 
PATRONS_NOR.2.d;On;;;;;;;;;x 
patron_forseti;Dedicated;;;;;;;;;x 
patron_thor;Dedicated;;;;;;;;;x 
patron_njordr;Dedicated;;;;;;;;;x 
patron_loki;Dedicated;;;;;;;;;x 
patron_odin;Dedicated;;;;;;;;;x 
patron_freyja;Dedicated;;;;;;;;;x 
