#CODE;ENGLISH;;;;;;;;;x 
imperial_taxes;Imperial Tax System;;;;;;;;;x 
imperial_rule;Imperial Administration;;;;;;;;;x 
imperial_rule2;Imperial Administration;;;;;;;;;x 
imperial_rule3;Imperial Administration;;;;;;;;;x 
imperial_rule4;Imperial Administration;;;;;;;;;x 
imperial_rule5;Imperial Administration;;;;;;;;;x 
imperial_rule6;Imperial Administration;;;;;;;;;x 
imperial_rule7;Imperial Administration;;;;;;;;;x 
imperial_rule8;Imperial Administration;;;;;;;;;x 
imperial_rule9;Imperial Administration;;;;;;;;;x 
imperial_rule10;Imperial Administration;;;;;;;;;x 
imperial_rule11;Imperial Administration;;;;;;;;;x 
imperial_rule12;Imperial Administration;;;;;;;;;x 
imperial_rule13;Imperial Administration;;;;;;;;;x 
imperial_rule14;Imperial Administration;;;;;;;;;x 
imperial_rule15;Imperial Administration;;;;;;;;;x 
imperial_rule16;Imperial Administration;;;;;;;;;x 
imperial_rule17;Imperial Administration;;;;;;;;;x 
imperial_rule18;Imperial Administration;;;;;;;;;x 
imperial_rule19;Imperial Administration;;;;;;;;;x 
imperial_rule20;Imperial Administration;;;;;;;;;x 
