#CODE;ENGLISH;;;;;;;;;x 
MOVEMENT_SPEED;Movement Speed;;;;;;;;;x 
EXPERIMENTALITY;Experimentality;;;;;;;;;x 
CU_LIGHT_INFANTRY;Light Foot Troops;;;;;;;;;x 
CU_HEAVY_INFANTRY;Heavy Foot Troops;;;;;;;;;x 
CU_CAVALRY;Mounted Troops;;;;;;;;;x 
MORALE_DEFENCE;Morale Defence;;;;;;;;;x 
#MORALE_OFFENCE;Morale Offence;;;;;;;;;x 
DAMAGE;Damage;;;;;;;;;x 
PURSUIT;Pursuit;;;;;;;;;x 
RETREAT;Retreat;;;;;;;;;x 
MARTIAL_INFLUENCE;Martial Influence;;;;;;;;;x 
#DAMAGE_COMBAT_MODIFIER;Damage Combat Modifier of §Y$WHO$§!: $PERC$;;;;;;;;;x 
#PURSUIT_COMBAT_MODIFIER;Pursuit Combat Modifier of §Y$WHO$§!: $PERC$;;;;;;;;;x 
#RETREAT_COMBAT_MODIFIER;Retreat Combat Modifier of §Y$WHO$§!: $PERC$;;;;;;;;;x 
#DEFENCE_COMBAT_MODIFIER;Defence Combat Modifier of §Y$WHO$§!: $PERC$;;;;;;;;;x 
#EXPERIMENT_COMBAT_MODIFIER;Experimentality Combat Modifier of §Y$WHO$§!: $PERC$;;;;;;;;;x 
#LIGHT_INFANTRY_COMBAT_MODIFIER;Combat Modifier of §Y$WHO$§! boost to Light Foot Troops: $PERC$;;;;;;;;;x 
#HEAVY_INFANTRY_COMBAT_MODIFIER;Combat Modifier of §Y$WHO$§! boost to Heavy Foot Troops: $PERC$;;;;;;;;;x 
#CAVALRY_COMBAT_MODIFIER;Combat Modifier of §Y$WHO$§! boost to Mounted Troops: $PERC$;;;;;;;;;x 
#DEF_BONUS_AGAINST_ENEMY;Defence bonus against enemy flank: $PERC$;;;;;;;;;x 
#DEF_BONUS_MORALE;Morale Defence bonus: $PERC$ morale damage;;;;;;;;;x 
#MORALE_DEF_COMBAT_MODIFIER;Morale Defence Combat Modifier of §Y$WHO$§!: $PERC$;;;;;;;;;x 
#ATT_BONUS_MORALE;Morale Offence bonus: $PERC$ morale damage;;;;;;;;;x 
#MORALE_ATT_COMBAT_MODIFIER;Morale Offence Combat Modifier of §Y$WHO$§!: $PERC$ morale damage;;;;;;;;;x 
FLANKING;Flanking;;;;;;;;;x 
CENTER;Leading the Center;;;;;;;;;x 
#FLANKING_COMBAT_MODIFIER;Flanking Combat Modifier of §Y$WHO$§!: $PERC$;;;;;;;;;x 
#CENTER_COMBAT_MODIFIER;Leading the Center Combat Modifier of §Y$WHO$§!: $PERC$;;;;;;;;;x 
DEFENCE;Defence;;;;;;;;;x 
CANNOT_PLAY_MUSLIM_WITHOUT_DLC;You cannot play Muslim without The Sword of Islam DLC;;;;;;;;;x 
NOT_ALLOWED_MUSLIM;Not allowed to play §YMuslim§! without The Sword of Islam DLC!;;;;;;;;;x 
NOT_ALLOWED_MUSLIM_MP;§Y$PLAYER$§! not allowed to play §YMuslim§! without The Sword of Islam DLC;;;;;;;;;x 
RD_NOT_PLAYABLE_WITHOUT_MUSLIM_DLC;Muslims are not playable without The Sword of Islam DLC;;;;;;;;;x 
MUST_SELECT_PLAYER;Must select a Character to play!;;;;;;;;;x 
