#CODE;ENGLISH;;;;;;;;;x 
eunuch;Eunuch;;;;;;;;;x 
eunuch_desc;This character has been castrated and is a eunuch.;;;;;;;;;x 
blinded;Blinded;;;;;;;;;x 
blinded_desc;This character has been permanently blinded and cannot see.;;;;;;;;;x 
born_in_the_purple;Born in the Purple;;;;;;;;;x 
born_in_the_purple_desc;This character is porphyrogennetos - literally "born in the purple." It is an honor bestowed only to children born of a ruling Basileus or Basilissa in the purple chamber of the Imperial Palace. Their claim to the throne was traditionally stronger than that of older siblings born before their parents reign.;;;;;;;;;x 
title_imperial_eunuch;Parakoimomenos;;;;;;;;;x 
title_imperial_eunuch_desc;The Parakoimomenos, "the one who sleeps beside the Emperor's chamber," is a prestigious office at the Imperial Court reserved for eunuchs, who are valued for their perceived loyalty and discretion.;;;;;;;;;x 
title_court_eunuch;Court Eunuch;;;;;;;;;x 
title_court_eunuch_desc;Eunuchs perform many valued court functions and can be trusted in the presence of women.;;;;;;;;;x 
vassal_castrate_decision;Castrate [Root.GetTitledFirstName];;;;;;;;;x 
vassal_castrate_decision_desc;As he is your prisoner, you may give the order to castrate [Root.GetTitledFirstName] and turn him into a eunuch. He will then be a free man, but unable to sire more spawn or hold landed titles. A severe punishment.;;;;;;;;;x 
vassal_blinding_decision;Blind [Root.GetTitledFirstName];;;;;;;;;x 
vassal_blinding_decision_desc;As [Root.GetSheHe] is your prisoner, you may give the order to permanently blind [Root.GetTitledFirstName] and then setting [Root.GetHerHim] free. This practice originated in Persia, and is a common Roman way of dealing with political rivals without outright killing them, as a blind [Root.GetManWoman] is of little threat to the throne.;;;;;;;;;x 
opinion_castrated_me;Castrated Me;;;;;;;;;x 
opinion_blinded_me;Blinded Me;;;;;;;;;x 
opinion_castrated_family;Castrated Kin;;;;;;;;;x 
opinion_blinded_family;Blinded Kin;;;;;;;;;x 
opinion_loyal_servant;Loyal Servant;;;;;;;;;x 
nick_the_glorious;the Glorious;;;;;;;;;x 
nick_the_saint;the Saint;;;;;;;;;x 
EVTNAMELoR.1;The Reconquest of Syria Palaestina;;;;;;;;;x 
EVTDESCLoR.1;The whole of Syria Palaestina has finally been liberated from the vile clutches of barbarians and restored to the Roman Empire. A great triumph will be held for the brave heroes who accomplished this feat. May their names echo in eternity!;;;;;;;;;x 
EVTOPTALoR.1;Long live the Empire!;;;;;;;;;x 
