EVTDESCRKR.1;You are on the point to travel to the old library of Alexandria;;;;;;;;;;x
EVTOPTARKR.1;Begin your travel to the old library of Alexandria;;;;;;;;x;;
EVTOPTBRKR.1;Return Home;;;;;;;;;x;
EVTDESCRKR.2;You arived at the old library of Alexandria where the old scrolls of the pharaoh's lay under dust in a dark corner where nobody ever would dare to look;;;;;;;;x;;
EVTOPTARKR.2;you go to a quiet place in the library and close the door behind you and lock it;;;;;;;;x;;
EVTDESCRKR.3;After studying the scrolls you decide to take them home for closser research;;;;;;;;x;;
EVTOPTARKR.3;you return back home with the all the scrols of the old pharaoh's;;;;;;;;x;;
EVTDESCRKR.4;Once you returnt home you start thinking about how it wil be if you return the old gods to the people of your land;;;;;;;;x;;
EVTOPTARKR.4;you start writing new laws without anyone notice;;;;;;;;x;;
EVTOPTBRKR.4;this is the last chance to not get caucht by enyone;;;;;;;;x;;
EVTDESCRKR.5;Since you decidet to put it trough you wrote the new laws according to those you found on the scrols like religous freedom and no more tax reduction for the priest and church and lower the tax of the normal people;;;;;;;;x;;
EVTOPTARKR.5;Put all new laws through and reconstruct the Kemetic Polytheism;;;;;;;;x;;
EVTOPTBRKR.5;use some of the laws except those of end tax reduction for church;;;;;;;;x;;
EVTOPTCRKR.5;only bring back the Kemetic polytheism;;;;;;;;x;;
