#CODE;ENGLISH;;;;;;;;;x 
RD_APPEARANCE;Appearance;;;;;;;;;x 
RD_COAT_OF_ARMS;Coat of Arms;;;;;;;;;x 
RD_ATTRIBUTES;Attributes;;;;;;;;;x 
RD_ETHNICITY;Ethnicity;;;;;;;;;x 
RD_EYES;Eyes;;;;;;;;;x 
RD_NOSE;Nose;;;;;;;;;x 
RD_MOUTH;Mouth;;;;;;;;;x 
RD_CHIN;Chin;;;;;;;;;x 
RD_NECK;Neck;;;;;;;;;x 
RD_CHEEKS;Cheeks;;;;;;;;;x 
RD_EARS;Ears;;;;;;;;;x 
RD_EYE_COLOR;Eye Color;;;;;;;;;x 
RD_HAIRSTYLE;Hairstyle;;;;;;;;;x 
RD_HAIR_COLOR;Hair Color;;;;;;;;;x 
RD_BEARD;Beard;;;;;;;;;x 
RD_VISUALIZE;Visualize;;;;;;;;;x 
RD_CLOTHES;Clothes;;;;;;;;;x 
RD_HEADGEAR;Headgear;;;;;;;;;x 
RD_AGE;Age;;;;;;;;;x 
RD_BACKGROUND;Background;;;;;;;;;x 
RD_CANCEL;Cancel;;;;;;;;;x 
RD_NEXT;Next;;;;;;;;;x 
RD_LAYOUT;Layout;;;;;;;;;x 
RD_SLOT_1;Slot 1;;;;;;;;;x 
RD_SLOT_2;Slot 2;;;;;;;;;x 
RD_SLOT_3;Slot 3;;;;;;;;;x 
RD_SLOT_4;Slot 4;;;;;;;;;x 
RD_COLOR_1;Color 1;;;;;;;;;x 
RD_COLOR_2;Color 2;;;;;;;;;x 
RD_COLOR_3;Color 3;;;;;;;;;x 
RD_EMBLEM;Emblem;;;;;;;;;x 
PORTRAIT_westerngfx;Western;;;;;;;;;x 
PORTRAIT_italiangfx;Italian;;;;;;;;;x 
PORTRAIT_byzantinegfx;Byzantine;;;;;;;;;x 
PORTRAIT_muslimgfx;Muslim;;;;;;;;;x 
RD_YOUNG;Young;;;;;;;;;x 
RD_MIDDLEAGED;Middleaged;;;;;;;;;x 
RD_OLD;Old;;;;;;;;;x 
coa_party_per_fess;Party Per Fess;;;;;;;;;x 
coa_party_per_pale;Party Per Pale;;;;;;;;;x 
coa_party_per_cross;Party Per Cross;;;;;;;;;x 
coa_party_triangle;Party Triangle;;;;;;;;;x 
coa_plain;Plain;;;;;;;;;x 
RD_LINK_PATTERN;Links Patterns across all slots;;;;;;;;;x 
RD_LINK_COLOR;Links Colors across all slots;;;;;;;;;x 
RD_MARRIED;Tick if you want the character to start married;;;;;;;;;x 
RD_CLEARTRAITS;Remove all Traits\nRight-click on a trait to remove individual traits;;;;;;;;;x 
RD_DIPLOMACY;Diplomacy:;;;;;;;;;x 
RD_MARTIAL;Martial:;;;;;;;;;x 
RD_STEWARDSHIP;Stewardship:;;;;;;;;;x 
RD_INTRIGUE;Intrigue:;;;;;;;;;x 
RD_LEARNING;Learning:;;;;;;;;;x 
RD_HEALTH;Health:;;;;;;;;;x 
RD_FERTILITY;Fertility:;;;;;;;;;x 
RD_SONS;Sons:;;;;;;;;;x 
RD_DAUGHTERS;Daughters:;;;;;;;;;x 
RD_FIRST_NAME;First Name;;;;;;;;;x 
RD_DYNASTY;Dynasty;;;;;;;;;x 
RD_MARRIED2;Married:;;;;;;;;;x 
RD_CULTURE;Culture:;;;;;;;;;x 
RD_RELIGION;Religion:;;;;;;;;;x 
RD_EDUCATION;Education;;;;;;;;;x 
RD_TRAITS;Traits;;;;;;;;;x 
RD_FINISH;Finish;;;;;;;;;x 
RD_IS_MALE;Character is male, click to change;;;;;;;;;x 
RD_IS_FEMALE;Character is female, click to change;;;;;;;;;x 
RD_NOT_PLAYABLE;§RThis Religion is not playable§!;;;;;;;;;x 
RD_OPEN_RULER_DESIGNER;Open Ruler Designer;;;;;;;;;x 
RD_CHANGE_GRAPHICAL_CULTURE;Chance Graphical Culture;;;;;;;;;x 
RD_CHANGE_CULTURE;Change Culture;;;;;;;;;x 
RD_CHANGE_RELIGION;Change Religion;;;;;;;;;x 
RD_CHANGE_EDUCATIONAL_TRAIT;Change Educational Trait;;;;;;;;;x 
RD_CUSTOMIZED_AGE;Age: $AGE$ ( Max: $MAX$ );;;;;;;;;x 
RD_RANDOMIZE;Randomize;;;;;;;;;x 
RD_FAIL_AGE;Character is too old to start the game;;;;;;;;;x 
RD_FAIL_CHILDREN;Character is not old enough to have that many children, one year over 16 per child is required;;;;;;;;;x 
RD_EXTRA_CLICK;Click to change\nShift-click for x5 effect\nCtrl-click for x10 effect;;;;;;;;;x 
RD_RESET;Reset;;;;;;;;;x 
RD_FAIL_NO_NAME;You need to specify a first name;;;;;;;;;x 
RD_FAIL_NO_DYN_NAME;You need to specify a dynasty name;;;;;;;;;x 
RD_RULER_DESIGNER;Ruler Designer;;;;;;;;;x 
RD_FAIL_NO_UNPLAYABLE;§RCannot customize unplayable characters§!;;;;;;;;;x 
RD_FAIL_NO_DLC;§RYou need the Ruler Designer DLC to use this§!;;;;;;;;;x 
RD_FAIL_SAME_NAME;Cannot have the same name as the character you are replacing;;;;;;;;;x 
RD_CHANGE_SONS;Change the number of sons this character has;;;;;;;;;x 
RD_CHANGE_DAUGHTERS;Change the number of daughters this character has;;;;;;;;;x 
RD_ADD_TRAIT;Add Trait;;;;;;;;;x 
