#CODE;ENGLISH;;;;;;;;;x 
opinion_hajj_promised;Promised to go on Hajj.;;;;;;;;;x 
opinion_bring_on_hajj;Became Hajjaj together;;;;;;;;;x 
opinion_jihad_promised;Promised Jihad;;;;;;;;;x 
opinion_attepmt_hajj;Berated me about Hajj;;;;;;;;;x 
opinion_declined_hajj;Declined Hajj;;;;;;;;;x 
opinion_refused_hajj;Refused to go on Hajj with me;;;;;;;;;x 
opinion_hajj_saved_from_bandit;Saved from bandits at Hajj;;;;;;;;;x 
opinion_hajj_saving_on_hajj;Saved him from bandits;;;;;;;;;x 
opinion_hajj_attempt_murder;Broke Truce of Hajj;;;;;;;;;x 
opinion_hajj_rivalry_mended;Positive talk on Hajj;;;;;;;;;x 
opinion_helped_wudu;Helped with Wudu;;;;;;;;;x 
opinion_hajj_not_helpin;Not showing charity;;;;;;;;;x 
EVTDESC86000;You have started to prepare yourself for going on a pilgrimage to Mecca. Soon you will humble yourself and travel in a group with others to fulfill one of the five pillars of Islam.;;;;;;;;;x 
EVTOPTA86000;All are equal in front of God!;;;;;;;;;x 
EVTDESC86001;I am preparing myself for my travel to Mecca, and I have understood that there are members of my court that have not yet gone on a pilgrimage to Mecca. As [Root.PrimaryTitle.GetRulerTitle], it is my duty to be charitable to my people, and I will bring one of them with me.;;;;;;;;;x 
EVTOPTA86001;It will make travel more enjoyable...;;;;;;;;;x 
EVTOPTB86001;It is too costly...;;;;;;;;;x 
EVTDESC86010;While preparing for my pilgrimage to Mecca, I have come to realize that [Root.Liege.GetTitledName] is not a Hajjaj.;;;;;;;;;x 
EVTOPTA86010;Berate him about it!;;;;;;;;;x 
EVTTOOLTIP86011;will listen to us...;;;;;;;;;x 
EVTOPTB86010;Clearly, he is a busy man...;;;;;;;;;x 
EVTDESC86011;My beloved [Root.GetTitle]!\n I am preparing to go to Mecca on a Hajj. Sadly, rumors tell me that you have not gone on a pilgrimage yourself. Would you like to travel with me, your faithful servant?\nYour humble [From.GetTitledName];;;;;;;;;x 
EVTOPTA86011;I will prepare myself immediately!;;;;;;;;;x 
EVTTOOLTIP86012;will be travelling together with us...;;;;;;;;;x 
EVTOPTB86011;I am too busy!;;;;;;;;;x 
EVTTOOLTIP86013;will be disappointed in me;;;;;;;;;x 
EVTDESC86012;Dear [Root.GetTitledFirstName]!\nI will join you on your way to Mecca!\nYour liege, [From.GetTitledName];;;;;;;;;x 
EVTOPTA86012;Allah is Great!;;;;;;;;;x 
EVTDESC86013;I am sincerely regretful to inform you that I am not able to join you in your pilgrimage.\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA86013;Allah will judge him...;;;;;;;;;x 
EVTDESC86015;Our liege, [Root.Liege.GetTitledName], has heard of our plans to go to Mecca, and sends us advice that the road is perilous with infidels and bandits.;;;;;;;;;x 
EVTOPTA86015;Bring guards with you;;;;;;;;;x 
EVTOPTB86015;Travel lightly;;;;;;;;;x 
EVTDESC86020;While preparing for my pilgrimage to Mecca, my son comes to me and asks if he can join me.;;;;;;;;;x 
EVTOPTA86020;Bring him along;;;;;;;;;x 
EVTOPTB86020;It would be too costly;;;;;;;;;x 
EVTDESC86100;I am now fully prepared for my travel to Mecca! There will be a regent ruling [Root.PrimaryTitle.GetName] while I am away.;;;;;;;;;x 
EVTOPTA86100;Onwards to Mecca!;;;;;;;;;x 
EVTDESC86101;A group of bandits are tracking us, and it seems as if they are gaining on us.;;;;;;;;;x 
