#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,,,
RULE_FOURTHCRUSADE;Fourth Crusade;;;;;;;;;;;;x,,,,,,
RULE_FOURTHCRUSADE_HISTORICAL;Historical;;;;;;;;;;;;x,,,,,,
RULE_FOURTHCRUSADE_HISTORICAL_DESC;The Fourth Crusade will only be triggered by Venice between 1190 and 1250.;;;;;;;;;;;;x,,,,,,
RULE_FOURTHCRUSADE_RANDOM;Random;;;;;;;;;;;;x,,,,,,
RULE_FOURTHCRUSADE_RANDOM_DESC;The Fourth Crusade can be triggered by any republic whose capital is in Italy after 1090.;;;;;;;;;;;;x,,,,,,
RULE_FOURTHCRUSADE_OFF;Off;;;;;;;;;;;;x,,,,,,
RULE_FOURTHCRUSADE_OFF_DESC;The Fourth Crusade will never occur.;;;;;;;;;;;;x,,,,,,
opinion_rejected_crusade_army;Rejected Crusading army request;;;;;;;;;;;;x,,,,,,
opinion_forced_crusade_army;Forced Crusading army to our city;;;;;;;;;;;;x,,,,,,
opinion_byzantine_fourth_crusade_angry;Sack of Constantinople;;;;;;;;;;;;x,,,,,,
opinion_byzantine_fourth_crusade_angry_pope;Distrusts Catholicism after the Sack of Constantinople.;;;;;;;;;;;;x,,,,,,
latin_empire_formation;Form the Latin Empire;;;;;;;;;;;;x,,,,,,
latin_empire_formation_desc;The city of world's desire is ours! If we proclaim a new Empire in,"Constantinople, I will be Emperor and the west will recognise the true heirs of Rome!;;;;;;;;;;;;x",,,,,
EVTDESCFCR.98500;A blind Venetian,patrician by the name of Enrico Dandolo has arrived in your court. He has worked as,a bailus in Constantinople overseeing our small possessions there for many years,before being assigned as ambassador to the city of world's desire. His differences and encounters with,the Byzantines has rooted into a deep hatred for the people residing within the Empire.;;;;;;;;;;;;x,,
EVTOPTAFCR.98500;He had better not cause trouble.;;;;;;;;;;;;x,,,,,,
EVTDESCFCR.98501;The Crusader army, ready to do battle of behalf of God, is stranded in Venezia and is unable to pay for the ships they have commissioned from us. However, our recently arrived guest, Enrico Dandolo, along with his men, has offered the debt be suspended in return for certain favours such as raiding nearby coast lines to raise the gold required to pay for the ships.;;;;;;;;;;;;x
EVTDESCFCR.98501_VENICE;The Crusader army, ready to do battle of behalf of God, is stranded in Venezia and is unable to pay for the ships they have commissioned from us. However, you hatch an idea to allow the Crusader debt be suspended in return for certain favours, including the raiding of nearby hostile coasts and perhaps even the taking of a port of interest.;;;;;;;;;;;;x,,
EVTDESCFCR.98501_RANDOM;The Crusader army, ready to do battle of behalf of God, is stranded in our city and is unable to pay for the ships they have commissioned from us. However, you hatch an idea to allow the Crusader debt be suspended in return for certain favours, including the raiding of nearby hostile coasts and perhaps even the taking of a port of interest.;;;;;;;;;;;;x,,
EVTOPTAFCR.98501;Just get me that gold!;;;;;;;;;;;;x,,,,,,
EVTOPTBFCR.98501;You would raid other Christians for gold? This is sinful!;;;;;;;;;;;;x,,,,,,
EVTOPTCFCR.98501;I am confident this will work.;;;;;;;;;;;;x,,,,,,
EVTDESCFCR.98502;Reports from the Adriatic indicate a Crusading army is being diverted to Constantinople. In typical fashion, the west has come to us for brief stay before moving to their target. It is possible they are in need of supplies but until they arrive, we have no idea what they want.;;;;;;;;;;;;x,,,,
EVTOPTAFCR.98502;We welcome our Christian brothers!;;;;;;;;;;;;x,,,,,,
EVTOPTBFCR.98502;Brace yourselves!;;;;;;;;;;;;x,,,,,,
EVTOPTCFCR.98502;We have no time for this! Send them away!;;;;;;;;;;;;x,,,,,,
EVTOPTDFCR.98502;They cost us Zadar! Send them away!;;;;;;;;;;;;x,,,,,,
EVTDESCFCR.98503;The Crusaders have arrived in Constantinople and are demanding supplies and gold in order to relieve their army. Their leader, Enrico  Dandolo - a blind Venetian patrician, has demanded a large sum of gold for their journey to continue.;;;;;;;;;;;;x,,,,
EVTDESCFCR.98503_RANDOM;The Crusaders have arrived in Constantinople and are demanding supplies and a large sum of gold in order to relieve their army so that their journey can continue.;;;;;;;;;;;;x,,,,,,
EVTOPTAFCR.98503;How dare they?! We will not be extorted! Send them away!;;;;;;;;;;;;x,,,,,,
EVTOPTBFCR.98503;Stall them until we have the money.;;;;;;;;;;;;x,,,,,,
EVTOPTCFCR.98503;I want them gone. We will pay in full immediately.;;;;;;;;;;;;x,,,,,,
"EVTDESCFCR.98504;The Crusaders are satisfied that they have received their pay. Dandolo was furious when he learned we could pay them. Who knows what his true intentions were? In any case, the Crusaders are departing Constantinople as we speak.;;;;;;;;;;;;x",,,,,,
EVTDESCFCR.98504_RANDOM;The Crusaders are satisfied that they have received their pay and they are departing Constantinople as we speak.;;;;;;;;;;;;x,,,,,,
EVTOPTAFCR.98504;That could have turned out badly.;;;;;;;;;;;;x,,,,,,
EVTDESCFCR.98506;It has been some time, the Crusaders are still here within the city and their patience appears to be at breaking point. They are demanding their money immediately.;;;;;;;;;;;;x,,,,,
EVTOPTAFCR.98506;They arrive in our city and demand our resources? Send them away!;;;;;;;;;;;;x,,,,,,
EVTOPTBFCR.98506;Pay them immediately.;;;;;;;;;;;;x,,,,,,
EVTDESCFCR.98507;The Crusaders are furious that they are not going to get their gold and Dandolo is urging them to get revenge by sacking the city! The army is already inside the walls and our defences cannot stand up to them! They are sacking the city and looting everything for themselves!;;;;;;;;;;;;x,,,,,,
EVTDESCFCR.98507_RANDOM;The Crusaders are furious that they are not going to get their gold. The army is already inside the walls and our defences cannot stand up to them! They are sacking the city and looting everything for themselves!;;;;;;;;;;;;x,,,,,,
EVTOPTAFCR.98507;What have I done.;;;;;;;;;;;;x,,,,,,
