#CODE;ENGLISH;;;;;;;;;x 
mesoamerican;Mesoamerican;;;;;;;;;x 
nahuatl;Nahua;;;;;;;;;x 
aztec;Aztec;;;;;;;;;x 
e_mexikha;Aztec Empire;;;;;;;;;x 
e_mexikha_adj;Aztec;;;;;;;;;x 
emperor_nahuatl;Huetlatoani;;;;;;;;;x 
emperor_female_nahuatl;Huetlatoani;;;;;;;;;x 
king_nahuatl;Tlatoani;;;;;;;;;x 
king_female_nahuatl;Tlatoani;;;;;;;;;x 
duke_nahuatl;Huecalpixqui;;;;;;;;;x 
duke_female_nahuatl;Huecalpixqui;;;;;;;;;x 
count_nahuatl;Calpixqui;;;;;;;;;x 
count_female_nahuatl;Calpixqui;;;;;;;;;x 
baron_nahuatl;Teuctli;;;;;;;;;x 
baron_female_nahuatl;Teuctli;;;;;;;;;x 
GOD_HUITZILOPOCHTLI;Huitzilopochtli;;;;;;;;;x 
GOD_XIPE_TOTEC;Xipe-Totec;;;;;;;;;x 
GOD_TEZCATLIPOCA;Tezcatlipoca;;;;;;;;;x 
GOD_QUETZALCOATL;Quetzalcoatl;;;;;;;;;x 
GOD_MICTLANTECUHTLI;Mictlantecuhtli;;;;;;;;;x 
GOD_TLALOC;Tlaloc;;;;;;;;;x 
job_spiritual_aztec;Sahagun;;;;;;;;;x 
ISNT_TRIBAL_TYPE_TITLE;Is NOT Tribal;;;;;;;;;x 
IS_TRIBAL_TYPE_TITLE;Is Tribal;;;;;;;;;x 
HAS_HORDE_CULTURE;Is of a Horde Culture;;;;;;;;;x 
HAS_NOT_HORDE_CULTURE;Is NOT of a Horde Culture;;;;;;;;;x 
#DEATH_SACRIFICED;was offered up in sacrifice to Pagan gods by $KILLER$;;;;;;;;;x 
DEATH_SACRIFICED_NO_KILLER;was offered up in sacrifice to Pagan gods;;;;;;;;;x 
RETTYPE_CUL_NAHUA;Jaguar Warrior;;;;;;;;;x 
EVTDESC_SSI_001;Odd looking strangers in exotic ships came ashore today, requesting an audience. They came bearing wondrous gifts and merchandise - stygian beads, pearls and colourful feathers. Their tongue was unknown to everyone at court, but it seemed they wanted land in exchange for their baubles!;;;;;;;;;x 
EVTOPTA_SSI_001;I have a bad feeling about this...;;;;;;;;;x 
EVTNAME_SSI_002;Strangers from Beyond the Sea;;;;;;;;;x 
EVTDESC_SSI_002;There are rumours of exotic strangers in weird looking ships making landfall all along the Atlantic coast, speaking no known language, trying to buy land in exchange for obsidian beads, colourful feathers and gold. After refusing their offers, local rulers were apparently threatened with terrible curses and the might of a great emperor from beyond the Atlantic Ocean.;;;;;;;;;x 
EVTOPTA_SSI_002;Hah! A Fantasy Menace.;;;;;;;;;x 
EVTDESC_SSI_003;Thousands of menacing ships have arrived off the shores of [Root.GetName], spilling out numberless hordes of fierce warriors in strange garb. Their ululating battle cries can be heard for miles!;;;;;;;;;x 
EVTOPTA_SSI_003;It's the End of Days!;;;;;;;;;x 
EVTNAME_SSI_004;Sunset Invasion;;;;;;;;;x 
EVTDESC_SSI_004;Thousands of exotic ships have arrived in [From.SeaZone.GetName], spewing out numberless hordes of ululating warriors in weird armor sporting feathers and bone. These invaders from beyond the sunset worship hellish demon gods, sacrificing the populations of entire towns on altars erected on top of pyramid shaped wooden edifices. They cut their victims' hearts out, carefully flay them, and let their devil priests wear the skins for many days...;;;;;;;;;x 
EVTOPTA_SSI_004;[This.Religion.GetRandomGodNameCap] have Mercy!;;;;;;;;;x 
EVTDESC_SSI_005;A forest of sails has appeared on the horizon - the terrible Aztec scourge has reached our shores!;;;;;;;;;x 
EVTOPTA_SSI_005;Saddle my Horse!;;;;;;;;;x 
EVTNAME_SSI_006;Sunset Invasion;;;;;;;;;x 
EVTDESC_SSI_006;Another huge fleet of the bloodthirsty Aztecs has been sighted in [From.SeaZone.GetName]. The populace is fleeing in fear of the charnel altars of the foreign demon gods. The dreadful lord of the invaders has allegedly taken a vow to conquer the whole world in the name of Huitzilopochtli, the Aztec god of the sun, and of war...;;;;;;;;;x 
EVTOPTA_SSI_006;[This.Religion.GetRandomGodNameCap] have Mercy!;;;;;;;;;x 
EVTNAME_SSI_030;News From Across the Sea;;;;;;;;;x 
EVTDESC_SSI_030;Rumours have reached Europe of a titanic struggle taking place across the Great Sea in the homeland of the Aztecs. The Aztecs themselves rarely discuss it with outsiders, but it appears they have been locked in a deadly war for some time with the Tawantinsuyu, a great empire from the mountains and jungles far to the south of Tenochtitlan. They are ruled by the Sapa Inca, who is allegedly the direct descendant of some kind of sun god.\n\nIf the stories are to be believed, the warriors of the Inca are armed with mysterious thunder-sticks capable of felling a man from great distance. The Aztec have only recently been able to halt their advance, in large part thanks to their mounted warriors riding horses imported from Europe.;;;;;;;;;x 
EVTOPTA_SSI_030;Thunder-sticks? Sun gods? I have no time for this nonsense.;;;;;;;;;x 
EVTNAME_SSI_031;The Fall of the Great Plains;;;;;;;;;x 
EVTDESC_SSI_031;The Aztec have come to terms with their fear of horses, and several breeders have been established in the valley of Anahuac in their homeland. There is precious little information from overseas, but from what can be pieced together it seems the Aztec have used their new cavalry regiments to great effect in finally pacifying their stubborn rivals on the northern plains.\n\nThe Shoshone Dominions and the Sioux Commonwealth have already been incorporated into their growing empire, and Aztec armies are now marching towards the last hold-outs of the Free Iroquis City-States on the Atlantic coast. It may only be a matter of time before the entire continent is ruled from the great imperial city of Tenochtitlan.;;;;;;;;;x 
EVTOPTA_SSI_031;The same must never happen here!;;;;;;;;;x 
EVTNAME_SSI_035;Delicacies From the Far West;;;;;;;;;x 
EVTDESC_SSI_035;War and disease are not the only things the Aztec have brought with them from Cemanahuac, their distant homeland. Their diet includes several strange plants that are supposedly edible, and many of these are now enjoyed as exotic delicacies in courts across Europe and the Middle East.\n\nAfter trading with Aztec merchants, enterprising farmers have sowed their fields with the seeds of a plant called potato, while others experiment with tomatoes and maize. Many nobles, however, have become enamored with a sweet drink called 'chocolate,' made of the beans of the cacoa tree.;;;;;;;;;x 
EVTOPTA_SSI_035;A passing fad. It will never catch on.;;;;;;;;;x 
EVTDESC_SSI_040;All of Iceland is now a colony of the Aztec Empire. The Vikings who sailed to Vinland met natives who warned them of a powerful empire to the south, but those warnings went unheeded. Aztec nobles out of favour with the Emperor may henceforth be appointed governors of this cold and barren island.;;;;;;;;;x 
