EVTDESCPA.10000;You are the current ruler of the glorious Roman Empire. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10001;You are no longer the ruler of the Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;x 
EVTDESCPA.10002;I have been Born in the Purple!;;;;;;;;;x 
EVTDESCPA.10003;A child has been born in the purple room of the Imperial Palace, strengthening their claim to the throne.;;;;;;;;;x 
EVTDESCPA.10004;One of the eunuchs at the Imperial Court has distinguished himself and caught the attention of your advisors. Though they are usually of the jealous kind and loathe to admit redeeming qualities in others, even they cannot deny the promise of this young man.;;;;;;;;;x 
EVTOPTAPA_10004;Very well. Bring this man before me.;;;;;;;;;x 
EVTOPTBPA_10004;He should be cleaning floors and watching over women.;;;;;;;;;x 
born_in_the_purple2;Born in the Purple;;;;;;;;;x 
born_in_the_purple2_desc;This character was "born in the purple" - a high honour in the realm. It is a special trait bestowed only to children born of a ruling monarch in the purple chamber of the palace.;;;;;;;;;x 
augustus;Augustus;;;;;;;;;x 
augustus_desc;This character is the current ruler of the restored Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
augusta;Augusta;;;;;;;;;x 
augusta_desc;This character is the current ruler of the restored Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
baron_roman;Nobilus;;;;;;;;;x 
baron_female_roman;Nobilia;;;;;;;;;x 
barony_of_roman;Castra of;;;;;;;;;x 
city_baron_roman;Curator;;;;;;;;;x 
count_roman;Comes;;;;;;;;;x 
count_female_roman;Comitissa;;;;;;;;;x 
county_of_roman;Comitatus of;;;;;;;;;x 
city_count_roman;Prefect;;;;;;;;;x 
duke_roman;Dux;;;;;;;;;x 
duke_female_roman;Ducissa;;;;;;;;;x 
duchy_of_roman;Ducate of;;;;;;;;;x 
city_duke_of_Roman;Proconsul;;;;;;;;;x 
city_duchy_of_roman;Province of;;;;;;;;;x 
king_roman;Rex;;;;;;;;;x 
king_female_roman;Regina;;;;;;;;;x 
city_king_roman;Consul;;;;;;;;;x 
city_kingdom_of_roman;Republic of;;;;;;;;;x 
emperor_roman;Imperator;;;;;;;;;x 
emperor_female_roman;Imperatrix;;;;;;;;;x 
city_emperor_roman;Princeps;;;;;;;;;x 
city_empire_of_roman;Republic of;;;;;;;;;x 
revive_roman_culture;Revive Roman Culture;;;;;;;;;x 
revive_roman_culture_desc;Rome has been restored to its former glory, but its once rich language and culture is dead. You can attempt to restore it if you wish.;;;;;;;;;x 
roman_culture;[From.GetTitledName] becomes Roman.;;;;;;;;;x 
build_imperial_walls;Build Imperial Walls;;;;;;;;;x 
build_imperial_walls_desc;The Aurelian Walls are no longer strong enough to protect Rome. The city needs a new set of fortifications worthy of its status as an Imperial capital.;;;;;;;;;x 
RETTYPE_CUL_ROMAN;Legionary;;;;;;;;;x 
ca_culture_roman_1;Legionary Training Ground;;;;;;;;;x 
ca_culture_roman_2;Legionary Training Ground;;;;;;;;;x 
ca_culture_roman_3;Legionary Training Ground;;;;;;;;;x 
ca_culture_roman_4;Legionary Training Ground;;;;;;;;;x 
ca_culture_roman_1_desc;Legionary units include heavy infantry and pikemen. They are well equipped shock troops which can deal heavy damage.;;;;;;;;;x 
RETTYPE_CUL_ROMAN2;Clibanarii;;;;;;;;;x 
tp_rom_wall_6;Aurelian Walls;;;;;;;;;x 
tp_rom_wall_6_desc;The Aurelian Walls were built in the 3rd century to protect Rome. They encompass all of the cities seven hills, protecting them from siege.;;;;;;;;;x 
ca_rom_wall_6;Aurelian Walls;;;;;;;;;x 
ca_rom_wall_6_desc;The Aurelian Walls were built in the 3rd century to protect Rome. They encompass all of the cities seven hills, protecting them from siege.;;;;;;;;;x 
ca_imp_wall_6;Imperial Walls;;;;;;;;;x 
ca_imp_wall_6_desc;The Imperial Walls are some of the most formidable fortifications in the world, rivalled only by the Theodosian Walls at Constantinople.;;;;;;;;;x 
title_autarch;Autarch;;;;;;;;;x 
title_autarch_desc;Autarch (Autocrat) is one of the highest titles in the kingdom, second only to the Despot. It can only be granted to close relatives of the Despot, and is used to designate the heir to the Royal throne.;;;;;;;;;x 
title_mesazon;Mesazon;;;;;;;;;x 
title_mesazon_desc;The Mesazon (Intermediary) was a high-level bureaucrat in the Byzantine Empire. The holder of the title acted as the chief minister and principal aide of the Emperor, and often came from the ruling family.;;;;;;;;;x 
title_nobelissimos;Nobelissimos;;;;;;;;;x 
title_nobelissimos_desc;Nobelissimos is the Greek translation of the Latin title Nobilissimus (Most Noble), which was introduced during the reign of Emperor Constantine. It ranks much higher than the more common Patrikos.;;;;;;;;;x 
title_caesar;Caesar;;;;;;;;;x 
title_caesar_desc;Caesar is the one of the highest titles in the Roman Empire, second only to the Emperor. It can only be granted to close relatives of the Emperor, and is used to designate the heir to the Imperial throne.;;;;;;;;;x 
title_magister;Magister;;;;;;;;;x 
title_magister_desc;A Magister (Master) was a type of officer who held imperium (Power) in the Roman Republic. It became a proper title in the late Roman Empire and was given to important ministers, bureaucrats and generals.;;;;;;;;;x 
title_nobilissimus;Nobilissimus;;;;;;;;;x 
title_nobilissimus_desc;Nobilissimus is Latin for 'most noble.' It was introduced as an honorary title during Constantine's reign and affords its holders great prestige.;;;;;;;;;x 
title_patrician;Patrician;;;;;;;;;x 
title_patrician_desc;The Patrician families are the nobility of the Empire, above the plebeian and equestrian orders. To be granted the title of Patrician is to be recognised as an important member of Roman society.;;;;;;;;;x 
title_imperial_eunuch2;Cubicularius;;;;;;;;;x 
title_imperial_eunuch2_desc;The Cubicularius is the chamberlain of the imperial palace. The title is restricted to eunuchs, who are valued for their loyalty.;;;;;;;;;x 
EVTNAMEPA.10005;The Auxillaries;;;;;;;;;x 
EVTDESCPA.10005;A large group of men from lands both near and far has shown up at your borders. They claim they are warriors and request your permission to serve in the Roman army as auxillaries. In return for their service, they will be granted Roman citizenship, a plot of land, and a pension after they retire. Letting them serve could boost army numbers, but the people may not take kindly to their presence. Shall you let the men in, or turn them away?;;;;;;;;;x 
EVTNAMEPA.10006;More Auxillaries;;;;;;;;;x 
EVTDESCPA.10006;Another group of men has shown up at your borders, requesting service in the Roman army. The stories of the auxillaries have apparently spread far and wide, and they wish to join them in serving the Empire. The people did not take well to the arrival of the previous group, believing them to be spies sent by Rome's enemies. The memory of the barbarian Odacer's betrayal is still fresh in the mind of Rome's citizens. What shall you do?;;;;;;;;;x 
EVTNAMEPA.10007;Riots in Rome;;;;;;;;;x 
EVTDESCPA.10007;A riot has broken out in the Imperial Forum between the citizens of Rome and a group of auxillaries. Several groups of people have taken to the streets, convinced the "barbarian" auxillaries are planning the downfall of Rome. They are demanding you expel the Foederati from the Empire at once, or they will march on the Imperial Palace. The palace is well defended, and your guards are ready to fight, but the battle could be close.;;;;;;;;;x 
egyptian_grain;Egyptian Grain;;;;;;;;;x 
EVTDESCPA.10009;With the reconquest of the Nile delta, the grain supply to the Empire's cities has resumed.;;;;;;;;;x 
EVTDESCPA.10010;With the loss of the Nile delta, the grain supply to the Empire's cities has again ceased.;;;;;;;;;x 
EVTDESCPA.10011;A clumsy servant fell while pouring you a glass of wine and spilled it over you by accident, ruining your expensive purple cloak.;;;;;;;;;x 
forgive_servant;The servant is pardoned.;;;;;;;;;x 
autokrator;Autokrator;;;;;;;;;x 
autokrator_desc;This character is the current ruler of the Byzantine (Eastern Roman) Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
autokrateira;Autokrateira;;;;;;;;;x 
autokrateira_desc;This character is the current ruler of the Byzantine (Eastern Roman) Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
autokrator2;Autokrator;;;;;;;;;x 
autokrator2_desc;This character is the current ruler of the Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
autokrateira2;Autokrateira;;;;;;;;;x 
autokrateira2_desc;This character is the current ruler of the Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
EVTDESCPA.10012;You are the current ruler of the glorious Byzantine Empire. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10013;You are no longer the ruler of the Byzantine Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;x 
EVTDESCPA.10014;You are the current ruler of the glorious Byzantine Empire. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10015;You are no longer the ruler of the Byzantine Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;x 
EVTDESCPA.10016;You are the current ruler of the glorious Roman Empire. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10017;You are no longer the ruler of the Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;x 
EVTDESCPA.10018;You are the current ruler of the glorious Roman Empire. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10019;You are no longer the ruler of the Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;x 
EVTNAMEPA.10020;Churches United;;;;;;;;;x 
EVTDESCPA.10020;The once great Byzantine Empire is falling, it's armies no longer able to keep back the hordes of barbarians and infidels which push ever deeper into it's interior. In order to preserve the Empire, [From.GetTitledFirstName] has accepted the Pope's claim to universal authority over the church and converted to Catholicism. The Pope has pledged to support the ageing empire by ordering troops be sent to Byzantium, but it will be many months until they arrive. [From.GetTitledFirstName] will have to be careful until then, or the Empire's traditionally Orthodox population may be incited to revolt.;;;;;;;;;x 
unite_churches;Unite the Churches;;;;;;;;;x 
unite_churches_desc;The Byzantine Empire is no longer able to defend itself effectively. Converting to Catholicism would gain the Empire the support of the Pope, but it might not go down well.;;;;;;;;;x 
united_churches;The Churches are united.;;;;;;;;;x 
EVTDESCPA.10022;The promised troops have finally arrived from the west. They have set up in the capital and are awaiting your orders.;;;;;;;;;x 
form_latin_empire;Form the Latin Empire;;;;;;;;;x 
form_latin_empire_desc;Form the Latin Empire.;;;;;;;;;x 
e_trebizond;Trebizond;;;;;;;;;x 
e_trebizond_adj;Trebizondian;;;;;;;;;x 
form_trebizond_empire;Form the Empire of Trebizond;;;;;;;;;x 
form_trebizond_empire_desc;Form the Empire of Trebizond.;;;;;;;;;x 
k_epirus;Epirus;;;;;;;;;x 
k_epirus_adj;Epirote;;;;;;;;;x 
form_epirus_despotate;Form the Despotate of Epirus;;;;;;;;;x 
form_epirus_despotate_desc;Form the Despotate of Epirus.;;;;;;;;;x 
tp_stpeters;St. Peter's Basilica;;;;;;;;;x 
tp_stpeters_desc;St. Peter's Basilica was built by Emperor Constantine in the 3rd century to house the Papacy. It is a major pilgrimage site for Catholics and holds many treasures.;;;;;;;;;x 
tp_stpeters2;St. Peter's Basilica;;;;;;;;;x 
tp_hagiasophia;Hagia Sophia;;;;;;;;;x 
tp_hagiasophia_desc;The Hagia Sophia was built by Emperor Justinian in the 5th century after the original was destroyed in the Nika Riots. It is the seat of the Orthodox church and the Ecumenical Patriarch.;;;;;;;;;x 
tp_antiochchurch;Church of Saint Peter;;;;;;;;;x 
tp_antiochchurch_desc;The Church of Saint Peter is one of Christianity oldest churches, with legend stating it was founded by Paul the Apostle. It is built into the side of a cave and is decorated with many mosaics.;;;;;;;;;x 
tp_holysepulchre;Church of the Holy Sepulchre;;;;;;;;;x 
tp_holysepulchre_desc;The Church of the Holy Sepulchre was built by Emperor Constantine on the Hill of Cavalry, the location were Jesus was crucified. It is the base of the Patriarch of Jerusalem in Orthodoxy.;;;;;;;;;x 
tp_stmarks;Saint Mark's Cathedral;;;;;;;;;x 
tp_stmarks_desc;Originally a chapel, Saint Mark's Cathedral was built in the 3rd century by Pope Achillas of Alexandria. It is the seat of the Coptic Pope and the Orthodox Patriarch of Alexandria.;;;;;;;;;x 
tp_stmarks2;Saint Mark's Cathedral;;;;;;;;;x 
king_bulgarian;Knyaz;;;;;;;;;x 
king_female_bulgarian;Knyaginya;;;;;;;;;x 
king_serbian;Kralj;;;;;;;;;x 
king_female_serbian;Kraljica;;;;;;;;;x 
emperor_bulgarian;Tsar;;;;;;;;;x 
emperor_female_bulgarian;Tsarina;;;;;;;;;x 
emperor_serbian;Tsar;;;;;;;;;x 
emperor_female_serbian;Tsarina;;;;;;;;;x 
EVTNAMEPA.10023;The Great Fire;;;;;;;;;x 
EVTDESCPA.10023;A fire has broken out in the suburbs of Rome and has begun to spread downtown! The city watch is unable to contain it, and Rome may be seriously damaged if it does not get reinforcements.;;;;;;;;;x 
EVTTOOLTIPPA_10024;You dispatch the imperial guard.;;;;;;;;;x 
EVTTOOLTIPPA_10025;You let Rome burn to the ground.;;;;;;;;;x 
EVTNAMEPA.10024;Rome Saved;;;;;;;;;x 
