###ÄNSI
PROV747;Doris;;;x
PROV1332;Badi;;;;;;;x
PROV2086;Medri Bahri;;;;x
PROV2087;Marya;;;;x
PROV2088;Ka'bir;;;;x
PROV2089;Wolqayt;;;;x
PROV1343;Debarwa;;;;;x
PROV696;Hawija;;;;x
PROV742;Nikaea;;;;;;;;;x 
PROV748;Philadelphia;;;;;;;;;x 
PROV749;Amorion;;;;;;;;;x 
PROV750;Sangarios;;;;;;;;;x 
PROV792;Nubian Desert;;;;;;x
PROV909;Libyan Desert;;;;;x
PROV912;Awadaghust;;;;;x
PROV912;Timbuktu;;;;;x
PROV913;Kumbi Saleh;;;;;x
PROV914;Gao;;;;;x
PROV915;Jenne;;;;;x
PROV915;Taghaza;;;;;x
PROV917;Arawan;;;;;x
PROV918;Sijilmasa;;;;;x
PROV919;Walata;;;;;x
PROV920;Wadan;;;;;x
PROV924;Western Desert;;;;;x
PROV925;Sibiridugu;;;;;x
PROV1400;Berenike;;;;;x
PROV1464;Sudan;;;;;x
PROV1465;Siberia;;;;;x
PROV1466;Lemnos;;;;;;;;;x 
PROV1467;Guinea;;;;;x
PROV1468;Sper;;;;;x
PROV1469;Mark;;;;;x
PROV1470;Ostmark;;;;;x
PROV1471;Freistadt;;;;;x
PROV1472;Anbar;;;;;x
PROV1473;Vendsyssel;;;;;x
PROV1474;Lolland;;;;;x
PROV1475;Uthlande;;;;;x
PROV1476;Istedsyssel;;;;;x
PROV1477;Himbesyssel;;;;;x
PROV1478;Hardsyssel;;;;;x
PROV1479;Tamaran;;;;;x
PROV1480;Fuerteventura;;;;;x
PROV1481;Tillibari;;;;;x
PROV1482;Thenteos;;;;;x
PROV1483;Gholaia;;;;;x
PROV1484;Ghadames;;;;;x
PROV1485;Kufra;;;;;x
PROV1486;Ghat;;;;;x
PROV1487;Garama;;;;;x
PROV1488;Sabha;;;;;x
PROV1489;Gobiras;;;;;x 
PROV1490;Kano;;;;;x
PROV1491;Muniyo;;;;;x
PROV1492;Kanem;;;;;x
PROV1493;Bagirmi;;;;;x
PROV1494;Aïr;;;;;x
PROV1495;Kawar;;;;;x
PROV1496;Waddai;;;;;x
PROV1497;Darfur;;;;;x
PROV1498;Medwa;;;;;x
PROV1499;Eastern Desert;;;;;x
PROV1500;Berenike;;;;x
PROV1501;Elephantine;;;;;x
PROV1502;Thebes;;;;;x
PROV1503;Luxor;;;;;x
PROV1504;Latopolis;;;;;x
PROV1505;Ptolemais;;;;;x
PROV1506;Hermopolis Magna;;;;;x
PROV1507;Fayum;;;;;x
PROV1508;Baris;;;;;x
PROV1509;Kharga;;;;;x
PROV1510;Dakhla;;;;;x
PROV1511;Bahariya;;;;;x
PROV1512;Augila;;;;;x
PROV1513;Kashkar;;;;;x
PROV1514;Diwaniyah;;;;;x
PROV1515;Vologesias;;;;;x
PROV1516;Tikrit;;;;;x
PROV1517;Anbar;;;;;x
PROV1518;Hatra;;;;;x
PROV1519;Rawa;;;;;x
PROV1520;Perche;;;;;x
PROV1521;Ponthieu;;;;;x
PROV1522;Soissons;;;;;x
PROV1523;Beauvais;;;;;x
PROV1524;Quercy;;;;;x
PROV1525;Grenoble;;;;;x
PROV1526;Valentinois;;;;;x
PROV1527;Velay;;;;;x
PROV1528;Langres;;;;;x
PROV1529;Rethel;;;;;x
PROV1530;Chatillon;;;;;x
PROV1531;Guelders;;;;;x
PROV1532;Zutphen;;;;;x
PROV1533;Roermond;;;;;x
PROV1534;Limburg;;;;;x
PROV1535;Antwerpen;;;;;x
PROV1536;Groningen;;;;;x
PROV1537;Dithmarschen;;;;;x
PROV1538;Kiel;;;;;x
PROV1539;Tecklenburg;;;;;x
PROV1540;Magdeburg;;;;;x
PROV1541;Oberlausitz;;;;;x
PROV1542;Saxony;;;;;x
PROV1543;Osterland;;;;;x
PROV1544;Paderborn;;;;;x
PROV1545;Alnwick;;;;;x
PROV1546;Wesel;;;;;x
PROV1547;Berg;;;;;x
PROV1548;Hessen;;;;;x
PROV1549;Arthuret;;;;;x
PROV1550;Strasburg;;;;;x
PROV1551;Straubing;;;;;x
PROV1552;Henneberg;;;;;x
PROV1553;Hirschberg;;;;;x
PROV1554;Arcadia;;;;;x
PROV1555;Suðurland;;;;;x
PROV1556;Norðurland;;;;;x
PROV1557;Holderness;;;;;x
PROV1558;Scarborough;;;;;x
PROV1559;Richmond;;;;;x
PROV1560;Jebel Qisi;;;;;x
PROV1561;Bayuda;;;;;x
PROV1562;Kufryat;;;;;x
PROV1563;Hannek;;;;;x
PROV1564;Soba;;;;;x
PROV1565;Meroe;;;;;x
PROV1566;Rufaa;;;;;x
PROV1567;Jarin;;;;;x
PROV1568;Kab;;;;;x
PROV1569;Kulb;;;;;x
PROV1570;Kalabsha;;;;;x
PROV1571;Sabaqura;;;;;x
PROV1572;Korosoko;;;;;x
PROV1573;Jebel Adda;;;;;x
PROV1574;Wawa;;;;;x
PROV1575;Kassinger;;;;;x
PROV1576;Gimbi;;;;;x
PROV1577;Gambela;;;;;x
PROV1578;Agew;;;;;x
PROV1579;Dembiya;;;;;x
PROV1580;Metekel;;;;;x
PROV1581;Dembecha;;;;;x
PROV1582;Lasta;;;;;x
PROV1583;Adulis;;;;;x
PROV1584;Angot;;;;;x
PROV1585;Shewa;;;;;x
PROV1586;Illubabor;;;;;x
PROV1587;Janjaro;;;;;x
PROV1588;Kaffa;;;;;x
PROV1589;Welayata;;;;;x
PROV1590;Sidamo;;;;;x
PROV1591;Hadiya;;;;;x
PROV1592;Arsi;;;;;x
PROV1593;Dawaro;;;;;x
PROV1594;Menderfa;;;;;x
PROV1595;Mora;;;;;x
PROV1596;Afder;;;;;x
PROV1597;Odagen;;;;;x
PROV1598;Beledweyne;;;;;x
PROV1599;El Buur;;;;;x
PROV1600;Warsheikh;;;;;x
PROV1601;Meregh;;;;;x
PROV1602;Hobyo;;;;;x
PROV1603;Gedo;;;;;x
PROV1604;Galkayo;;;;;x
PROV1605;Garoowe;;;;;x
PROV1606;Qardho;;;;;x
PROV1607;Hafun;;;;;x
PROV1608;Werder;;;;;x
PROV1609;Togdher;;;;;x
PROV1610;Deghabur;;;;;x
PROV1611;Cap Corse;;;;;x
PROV1612;Gallura;;;;;x
PROV1613;Logudoro;;;;;x
PROV1614;Mangup;;;;;x
PROV1615;Hargeisa;;;;;x
PROV1616;Sanaag;;;;;x
PROV1617;Porhoet;;;;;x
PROV1618;Tregor;;;;;x
PROV1619;Meirionnydd;;;;;x
PROV1620;Ceredigion;;;;;x
PROV1621;Ystrad Tywi;;;;;x
PROV1622;Brycheiniog;;;;;x
PROV1623;Maelienydd;;;;;x
PROV1624;Cyfeiliog;;;;;x
PROV1625;Kerry;;;;;x
PROV1626;Clare;;;;;x
PROV1627;Tipperary;;;;;x
PROV1628;Roscommon;;;;;x
PROV1629;Hymany;;;;;x
PROV1630;Tethbae;;;;;x
PROV1631;Offaly;;;;;x
PROV1632;Wexford;;;;;x
PROV1633;Leitrim;;;;;x
PROV1634;Downpatrick;;;;;x
PROV1635;Derry;;;;;x
PROV1636;Sutherland;
PROV1637;Annadale;;;;;x
PROV1638;Renfrew;;;;;x
PROV1639;Roxburgh;;;;;x
PROV1640;Aberdeen;;;;;x
PROV1641;Inverness;;;;;x
PROV1642;Kincadine;;;;;x
PROV1643;Lewis;;;;;x
PROV1644;Skye;;;;;x
PROV1645;Uist;;;;;x
PROV1646;Isle of Wight;;;;;x
PROV1647;Cambridge;;;;;x
PROV1648;Spalding;;;;;x
PROV1649;Mull;;;;;x
PROV1650;Kintyre;;;;;x
PROV1651;Islay;;;;;x
PROV1652;Arbanon;;;;;x
PROV1653;Aulon;;;;;x
PROV1654;Boeotia;;;;;x
PROV1655;Serres;;;;;x
PROV1656;Kavala;;;;;x
PROV1657;Lycia;;;;;x
PROV1658;Skopje;;;;;x
PROV1659;Kotyaion;;;;;x
PROV1660;Nysia;;;;;x
PROV1661;Sakarya;;;;;x
PROV1662;Amastris;;;;;x
PROV1663;Tium;;;;;x
PROV1664;Kerasous;;;;;x
PROV1665;Amaseia;;;;;x
PROV1666;Laranda;;;;;x
PROV1667;Aksaray;;;;;x
PROV1668;Nyssa;;;;;x
PROV1669;Arezzo;;;;;x
PROV1670;Abbruzze;;;;;x
PROV1671;Perugia;;;;;x
PROV1672;Savona;;;;;x
PROV1673;Enna;;;;;x
PROV1674;Modica;;;;;x
PROV1675;Novara;;;;;x
PROV1676;Castelseprio;;;;;x
PROV1677;Ticino;;;;;x
PROV1678;Bergano;;;;;x
PROV1679;Belluno;;;;;x
PROV1680;Friuli;;;;;x
PROV1681;Vicensa;;;;;x
PROV1682;Asti;;;;;x
PROV1683;Frosinone;;;;;x
PROV1684;Nerola;;;;;x
PROV1685;Viterbo;;;;;x
PROV1686;Crotone;;;;;x
PROV1687;Marsicovetere;;;;;x
PROV1688;Oria;;;;;x
PROV1689;Gravina;;;;;x
PROV1690;Melfi;;;;;x
PROV1691;Andria;;;;;x
PROV1692;Molise;;;;;x
PROV1693;Anglesey;;;;;x
PROV1694;Larino;;;;;x
PROV1695;Gaeta;;;;;x
PROV1696;Alife;;;;;x
PROV1697;Cherwell;;;;;x
PROV1698;Romerike;;;;;x
PROV1699;Sogn;;;;;x
PROV1700;Fjordane;;;;;x
PROV1701;Romsdal;;;;;x
PROV1702;Uttrondelag;;;;;x
PROV1703;Fosen;;;;;x
PROV1704;Inntrongelag;;;;;x
PROV1705;Gudbrandsdal;;;;;x
PROV1706;Dalarna;;;;;x
PROV1707;Skara;;;;;x
PROV1708;Finnheden;;;;;x
PROV1709;Njudung;;;;;x
PROV1710;;Lugo;;;;;x
PROV1711;Palencia;;;;;x
PROV1712;Barusa;;;;;x
PROV1713;Guadalajara;;;;;x
PROV1714;Alarcon;;;;;x
PROV1715;Segovia;;;;;x
PROV1716;Avila;;;;;x
PROV1717;Ourense;;;;;x
PROV1718;Alava;;;;;x
PROV1719;Gipuzkoa;;;;;x
PROV1720;Jaen;;;;;x
PROV1721;Merida;;;;;x
PROV1722;Tereul;;;;;x
PROV1723;Carmona;;;;;x
PROV1724;Setubal;;;;;x
PROV1725;Leria;;;;;x
PROV1726;Mertcia;;;;;x
PROV1727;Viseu;;;;;x
PROV1728;Trancoso;;;;;x
PROV1729;Horn;;;;;x
PROV1730;Mistlebach;;;;;x
PROV1731;Podborany;;;;;x
PROV1732;Beroun;;;;;x
