#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;
b_addur;Ad-Dur;Ad-Dur;Ad-Dur;;Ad-Dur;;;;;;;;;x
b_ainattamr;Ain at-Tamr;Ain at-Tamr;Ain at-Tamr;;Ain at-Tamr;;;;;;;;;x
b_akhsikak;Akhsikak;Akhsikak;Akhsikak;;Akhsikak;;;;;;;;;x
b_akumbu;Akumbu;Akumbu;Akumbu;;Akumbu;;;;;;;;;x
b_alahina;Alahina;Alahina;Alahina;;Alahina;;;;;;;;;x
b_alatarib;Al-Atarib;Al-Atarib;Al-Atarib;;Al-Atarib;;;;;;;;;x
b_albab;Al-Bab;Al-Bab;Al-Bab;;Al-Bab;;;;;;;;;x
b_alkawatil;Al-Kawatil;Al-Kawatil;Al-Kawatil;;Al-Kawatil;;;;;;;;;x
b_almashuq;Al-Mashuq;Al-Mashuq;Al-Mashuq;;Al-Mashuq;;;;;;;;;x
b_almubarak;Al-Mubarak;Al-Mubarak;Al-Mubarak;;Al-Mubarak;;;;;;;;;x
b_alqasaba;Al-Qasaba;Al-Qasaba;Al-Qasaba;;Al-Qasaba;;;;;;;;;x
b_aludaib;Al-Udaib;Al-Udaib;Al-Udaib;;Al-Udaib;;;;;;;;;x
b_alusa;Alusa;Alusa;Alusa;;Alusa;;;;;;;;;x
b_amcaka;Amcaka;Amcaka;Amcaka;;Amcaka;;;;;;;;;x
b_amolamol;Amol;Amol;Amol;;Amol;;;;;;;;;x
b_ana;Ana;Ana;Ana;;Ana;;;;;;;;;x
b_andarin;Andarin;Andarin;Andarin;;Andarin;;;;;;;;;x
b_andicharagh;Andicharagh;Andicharagh;Andicharagh;;Andicharagh;;;;;;;;;x
b_andkhud;Andkhud;Andkhud;Andkhud;;Andkhud;;;;;;;;;x
b_anka;Anka;Anka;Anka;;Anka;;;;;;;;;x
b_aqbarta;Aqbarta;Aqbarta;Aqbarta;;Aqbarta;;;;;;;;;x
b_argungu;Argungu;Argungu;Argungu;;Argungu;;;;;;;;;x
b_arrahba;Ar-Rahba;Ar-Rahba;Ar-Rahba;;Ar-Rahba;;;;;;;;;x
b_arriha;Ar-Riha;Ar-Riha;Ar-Riha;;Ar-Riha;;;;;;;;;x
b_arrusafa;Ar-Rusafa;Ar-Rusafa;Ar-Rusafa;;Ar-Rusafa;;;;;;;;;x
b_artah;Artah;Artah;Artah;;Artah;;;;;;;;;x
b_arzan;Arzan;Arzan;Arzan;;Arzan;;;;;;;;;x
b_asht;Asht;Asht;Asht;;Asht;;;;;;;;;x
b_assaliq;As-Saliq;As-Saliq;As-Saliq;;As-Saliq;;;;;;;;;x
b_assinn;As-Sinn;As-Sinn;As-Sinn;;As-Sinn;;;;;;;;;x
b_assuhna;As-Suhna;As-Suhna;As-Suhna;;As-Suhna;;;;;;;;;x
b_attaq;At-Taq;At-Taq;At-Taq;;At-Taq;;;;;;;;;x
b_badakhshan;Badakhshan;Badakhshan;Badakhshan;;Badakhshan;;;;;;;;;x
b_badin;Badin;Badin;Badin;;Badin;;;;;;;;;x
b_bagarwan;Bagrawan;Bagrawan;Bagrawan;;Bagrawan;;;;;;;;;x
b_bakrabad;Bakrabad;Bakrabad;Bakrabad;;Bakrabad;;;;;;;;;x
b_balis;Balis;Balis;Balis;;Balis;;;;;;;;;x
b_baniqya;Baniqya;Baniqya;Baniqya;;Baniqya;;;;;;;;;x
b_barimma;Barimma;Barimma;Barimma;;Barimma;;;;;;;;;x
b_barquta;Barquta;Barquta;Barquta;;Barquta;;;;;;;;;x
b_barzuya;Barzuya;Barzuya;Barzuya;;Barzuya;;;;;;;;;x
b_bilma;Bilma;Bilma;Bilma;;Bilma;;;;;;;;;x
b_binklabin;Binklabin;Binklabin;Binklabin;;Binklabin;;;;;;;;;x
b_birnin-kebbi;Birnin;Birnin;Birnin;;Birnin;;;;;;;;;x
b_bornu;Bornu;Bornu;Bornu;;Bornu;;;;;;;;;x
b_burdj;Burdj;Burdj;Burdj;;Burdj;;;;;;;;;x
b_burujerd;Borujerd;Borujerd;Borujerd;;Borujerd;;;;;;;;;x
b_buzaa;Buza'a;Buza'a;Buza'a;;Buza'a;;;;;;;;;x
b_dagbon;Dagbon;Dagbon;Dagbon;;Dagbon;;;;;;;;;x
b_daima;Daima;Daima;Daima;;Daima;;;;;;;;;x
b_dair-alfarus;Dair al-Farus;Dair al-Farus;Dair al-Farus;;Dair al-Farus;;;;;;;;;x
b_dala;Dala;Dala;Dala;;Dala;;;;;;;;;x
b_daliya;Daliya;Daliya;Daliya;;Daliya;;;;;;;;;x
b_dandankan;Dandankan;Dandankan;Dandankan;;Dandankan;;;;;;;;;x
b_darabjird;Darabjird;Darabjird;Darabjird;;Darabjird;;;;;;;;;x
b_daradj;Daradj;Daradj;Daradj;;Daradj;;;;;;;;;x
b_daranisibis;Dara;Dara;Dara;;Dara;;;;;;;;;x
b_darkan;Darkan;Darkan;Darkan;;Darkan;;;;;;;;;x
b_daskara;Daskara;Daskara;Daskara;;Daskara;;;;;;;;;x
b_diafunu;Diafunu;Diafunu;Diafunu;;Diafunu;;;;;;;;;x
b_diaka;Diaka;Diaka;Diaka;;Diaka;;;;;;;;;x
b_dirku;Dirku;Dirku;Dirku;;Dirku;;;;;;;;;x
b_djado;Djado;Djado;Djado;;Djado;;;;;;;;;x
b_djadonafusa;Djado;Djado;Djado;;Djado;;;;;;;;;x
b_djarma;Djarma;Djarma;Djarma;;Djarma;;;;;;;;;x
b_djimi;Djimi;Djimi;Djimi;;Djimi;;;;;;;;;x
b_dosso;Dosso;Dosso;Dosso;;Dosso;;;;;;;;;x
b_dunaisir;Dunasir;Dunasir;Dunasir;;Dunasir;;;;;;;;;x
b_dutsi;Dutsi;Dutsi;Dutsi;;Dutsi;;;;;;;;;x
b_fachi;Fachi;Fachi;Fachi;;Fachi;;;;;;;;;x
b_famassilh;Fam as-Silh;Fam as-Silh;Fam as-Silh;;Fam as-Silh;;;;;;;;;x
b_farabr;Farabr;Farabr;Farabr;;Farabr;;;;;;;;;x
b_farasha;Farasha;Farasha;Farasha;;Farasha;;;;;;;;;x
b_fayrab;Fayrab;Fayrab;Fayrab;;Fayrab;;;;;;;;;x
b_fegui;Fegui;Fegui;Fegui;;Fegui;;;;;;;;;x
b_fiha;Fiha;Fiha;Fiha;;Fiha;;;;;;;;;x
b_fika;Fika;Fika;Fika;;Fika;;;;;;;;;x
b_gabula;Gabula;Gabula;Gabula;;Gabula;;;;;;;;;x
b_gaya;Gaya;Gaya;Gaya;;Gaya;;;;;;;;;x
b_ghadames;Ghadames;Ghadames;Ghadames;;Ghadames;;;;;;;;;x
b_goklenkuyu;Giklenkuyu;Giklenkuyu;Giklenkuyu;;Giklenkuyu;;;;;;;;;x
b_guidimakka;Guidimakka;Guidimakka;Guidimakka;;Guidimakka;;;;;;;;;x
b_gumdag;Gumdag;Gumdag;Gumdag;;Gumdag;;;;;;;;;x
b_gusau;Gusau;Gusau;Gusau;;Gusau;;;;;;;;;x
b_hadeja;Hadeja;Hadeja;Hadeja;;Hadeja;;;;;;;;;x
b_haffan;Haffan;Haffan;Haffan;;Haffan;;;;;;;;;x
b_hairsharqi;Qasr al-Hair al-Sharqi;Qasr al-Hair al-Sharqi;Qasr al-Hair al-Sharqi;;Qasr al-Hair al-Sharqi;;;;;;;;;x
b_haniqin;Haniqin;Haniqin;Haniqin;;Haniqin;;;;;;;;;x
b_harran;Harran;Harran;Harran;;Harran;;;;;;;;;x
b_hisnkaifa;Hisn Kaifa;Hisn Kaifa;Hisn Kaifa;;Hisn Kaifa;;;;;;;;;x
b_hisnmaslama;Hisn Aslama;Hisn Aslama;Hisn Aslama;;Hisn Aslama;;;;;;;;;x
b_huftidkan;Huftidkan;Huftidkan;Huftidkan;;Huftidkan;;;;;;;;;x
b_hulbuk;Hulbuk;Hulbuk;Hulbuk;;Hulbuk;;;;;;;;;x
b_hunasira;Hunasira;Hunasira;Hunasira;;Hunasira;;;;;;;;;x
b_chinguitti;Chinguitti;Chinguitti;Chinguitti;;Chinguitti;;;;;;;;;x
b_igdy_kala;Igdy Kala;Igdy Kala;Igdy Kala;;Igdy Kala;;;;;;;;;x
b_iskaf;Iskaf;Iskaf;Iskaf;;Iskaf;;;;;;;;;x
b_istahbanat;Istahbanat;Istahbanat;Istahbanat;;Istahbanat;;;;;;;;;x
b_jabulta;Jabulta;Jabulta;Jabulta;;Jabulta;;;;;;;;;x
b_jafran;Jafran;Jafran;Jafran;;Jafran;;;;;;;;;x
b_jalula;Jalula;Jalula;Jalula;;Jalula;;;;;;;;;x
b_jamida;Jamida;Jamida;Jamida;;Jamida;;;;;;;;;x
b_jarabulus;Jarabulus;Jarabulus;Jarabulus;;Jarabulus;;;;;;;;;x
b_jaziratibnumar;Jazirat Ibn Umar;Jazirat Ibn Umar;Jazirat Ibn Umar;;Jazirat Ibn Umar;;;;;;;;;x
b_jerm;Jerm;Jerm;Jerm;;Jerm;;;;;;;;;x
