#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_hadramut;Hadramut;Hadramut;Hadramut;;Hadramut;;;;;;;;;x
d_hadramut_adj;Hadramuti;Hadramuti;Hadramuti;;Hadramuti;;;;;;;;;x
d_medina;Hijaz;Hijaz;Hijaz;;Hijaz;;;;;;;;;x
d_medina_adj;Hijazi;Hijazi;Hijazi;;Hijazi;;;;;;;;;x
d_amman;Bahrain;Bahrain;Bahrain;;Bahrain;;;;;;;;;x
d_amman_adj;Bahraini;Bahraini;Bahraini;;Bahraini;;;;;;;;;x
d_nefoud;Nejd;Nejd;Nejd;;Nejd;;;;;;;;;x
d_nefoud_adj;Nejdi;Nejdi;Nejdi;;Nejdi;;;;;;;;;x
d_tigris;Kufa;Kufa;Kufa;;Kufa;;;;;;;;;x
d_tigris_adj;Kufi;Kufi;Kufi;;Kufi;;;;;;;;;x
d_samarra;Samarra;Samarra;Samarra;;Samarra;;;;;;;;;x
d_samarra_adj;Samarrati;Samarrati;Samarrati;;Samarrati;;;;;;;;;x
d_mosul;Diar Rabi'a;Diar Rabi'a;Diar Rabi'a;;Diar Rabi'a;;;;;;;;;x
d_mosul_adj;Rabi'ati;Rabi'ati;Rabi'ati;;Rabi'ati;;;;;;;;;x
d_kermanshah;Kurdistan;Kurdistan;Kurdistan;;Kurdistan;;;;;;;;;x
d_kermanshah_adj;Kurdistani;Kurdistani;Kurdistani;;Kurdistani;;;;;;;;;x
d_hayya;Aydhab;Aydhab;Aydhab;;Aydhab;;;;;;;;;x
d_hayya_adj;Aydhabi;Aydhabi;Aydhabi;;Aydhabi;;;;;;;;;x
d_kassala;Kassala;Kassala;Kassala;;Kassala;;;;;;;;;x
d_kassala_adj;Kassali;Kassali;Kassali;;Kassali;;;;;;;;;x
d_alwahat;Al-Wahat;Al-Wahat;Al-Wahat;;Al-Wahat;;;;;;;;;x
d_alwahat_adj;Wahati;Wahati;Wahati;;Wahati;;;;;;;;;x
d_jeno;Djenne;Djenne;Djenne;;Djenne;;;;;;;;;x
d_jeno_adj;Djennian;Djennian;Djennian;;Djennian;;;;;;;;;x
d_kano;Hausaland;Hausaland;Hausaland;;Hausaland;;;;;;;;;x
d_kano_adj;Hausalandian;Hausalandian;Hausalandian;;Hausalandian;;;;;;;;;x
d_kanem;Kanem;Kanem;Kanem;;Kanem;;;;;;;;;x
d_kanem_adj;Kanemite;Kanemite;Kanemite;;Kanemite;;;;;;;;;x
d_adrar;Adrar;Adrar;Adrar;;Adrar;;;;;;;;;x
d_adrar_adj;Adrari;Adrari;Adrari;;Adrari;;;;;;;;;x
d_jerid;Jerid;Jerid;Jerid;;Jerid;;;;;;;;;x
d_jerid_adj;Jeridi;Jeridi;Jeridi;;Jeridi;;;;;;;;;x
d_zab;Zab;Zab;Zab;;Zab;;;;;;;;;x
d_zab_adj;Zabi;Zabi;Zabi;;Zabi;;;;;;;;;x
d_sijilmasa;Sijilmasa;Sijilmasa;Sijilmasa;;Sijilmasa;;;;;;;;;x
d_sijilmasa_adj;Sijilmasi;Sijilmasi;Sijilmasi;;Sijilmasi;;;;;;;;;x
d_fezzan;Fezzan;Fezzan;Fezzan;;Fezzan;;;;;;;;;x
d_fezzan_adj;Fezzani;Fezzani;Fezzani;;Fezzani;;;;;;;;;x
d_kawar;Kawar;Kawar;Kawar;;Kawar;;;;;;;;;x
d_kawar_adj;Kawarite;Kawarite;Kawarite;;Kawarite;;;;;;;;;x
d_bornu;Bornu;Bornu;Bornu;;Bornu;;;;;;;;;x
d_bornu_adj;Bornuan;Bornuan;Bornuan;;Bornuan;;;;;;;;;x
d_draa;Draa;Draa;Draa;;Draa;;;;;;;;;x
d_draa_adj;Draa'i;Draa'i;Draa'i;;Draa'i;;;;;;;;;x
d_hamadan;Mafaza;Mafaza;Mafaza;;Mafaza;;;;;;;;;x
d_hamadan_adj;Mafazi;Mafazi;Mafazi;;Mafazi;;;;;;;;;x
d_baluchistan;Makran;Makran;Makran;;Makran;;;;;;;;;x
d_baluchistan_adj;Makrani;Makrani;Makrani;;Makrani;;;;;;;;;x
k_kanem;Kanem;Kanem;Kanem;;Kanem;;;;;;;;;x
k_kanem_adj;Kanemite;Kanemite;Kanemite;;Kanemite;;;;;;;;;x
k_maikelebahr;Maikele Bahr;Maikele Bahr;Maikele Bahr;;Maikele Bahr;;;;;;;;;x
k_maikelebahr_adj;Bahri;Bahri;Bahri;;Bahri;;;;;;;;;x
k_aljazira;Al-Jazira;Al-Jazira;Al-Jazira;;Al-Jazira;;;;;;;;;x
k_aljazira_adj;Jaziri;Jaziri;Jaziri;;Jaziri;;;;;;;;;x
k_yemen;Yemen;Yemen;Yemen;;Yemen;;;;;;;;;x
k_yemen_adj;Yemeni;Yemeni;Yemeni;;Yemeni;;;;;;;;;x
k_adal;Adal;Adal;Adal;;Adal;;;;;;;;;x
k_adal_adj;Adali;Adali;Adali;;Adali;;;;;;;;;x
k_khorasan;Khorasan;Khorasan;Khorasan;;Khorasan;;;;;;;;;x
k_khorasan_adj;Khorasani;Khorasani;Khorasani;;Khorasani;;;;;;;;;x
k_daylam;Daylam;Daylam;Daylam;;Daylam;;;;;;;;;x
k_daylam_adj;Daylamite;Daylamite;Daylamite;;Daylamite;;;;;;;;;x
k_khiva;Transoxiana;Transoxiana;Transoxiana;;Transoxiana;;;;;;;;;x
k_khiva_adj;Transoxianian;Transoxianian;Transoxianian;;Transoxianian;;;;;;;;;x
k_afghanistan;Kabulistan;Kabulistan;Kabulistan;;Kabulistan;;;;;;;;;x
k_afghanistan_adj;Kabulistani;Kabulistani;Kabulistani;;Kabulistani;;;;;;;;;x
k_baluchistan;Sistan;Sistan;Sistan;;Sistan;;;;;;;;;x
k_baluchistan¨_adj;Sistani;Sistani;Sistani;;Sistani;;;;;;;;;x
d_baluchistan;Makran;Makran;Makran;;Makran;;;;;;;;;x
d_baluchistan_adj;Makrani;Makrani;Makrani;;Makrani;;;;;;;;;x
d_khorasan;Nishapur;Nishapur;Nishapur;;Nishapur;;;;;;;;;x
d_khorasan_adj;Nishapuri;Nishapuri;Nishapuri;;Nishapuri;;;;;;;;;x
d_balkh;Baklh;Baklh;Baklh;;Baklh;;;;;;;;;x
d_balkh_adj;Balkhi;Balkhi;Balkhi;;Balkhi;;;;;;;;;x
d_herat;Herat;Herat;Herat;;Herat;;;;;;;;;x
d_herat_adj;Herati;Herati;Herati;;Herati;;;;;;;;;x
d_khiva;Khwarezm;Khwarezm;Khwarezm;;Khwarezm;;;;;;;;;x
d_khiva_adj;Khwarezmian;Khwarezmian;Khwarezmian;;Khwarezmian;;;;;;;;;x
d_ferghana;Ferghana;Ferghana;Ferghana;;Ferghana;;;;;;;;;x
d_ferghana_adj;Ferghanian;Ferghanian;Ferghanian;;Ferghanian;;;;;;;;;x
k_mesopotamia;Iraq;Iraq;Iraq;;Iraq;;;;;;;;;x
k_mesopotamia_adj;Iraqi;Iraqi;Iraqi;;Iraqi;;;;;;;;;x
k_oman;Oman;Oman;Oman;;Oman;;;;;;;;;x
k_oman_adj;Omani;Omani;Omani;;Omani;;;;;;;;;x
d_samarkand;Soghd;Soghd;Soghd;;Soghd;;;;;;;;;x
d_samarkand_adj;Soghdian;Soghdian;Soghdian;;Soghdian;;;;;;;;;x
d_mudir;Diyar Mudir;Diyar Mudir;Diyar Mudir;;Diyar Mudir;;;;;;;;;x
d_mudir_adj;Mudiri;Mudiri;Mudiri;;Mudiri;;;;;;;;;x
d_khoar;Khoar;Khoar;Khoar;;Khoar;;;;;;;;;x
d_khoar_adj;Khoari;Khoari;Khoari;;Khoari;;;;;;;;;x
d_ahwaz;Ahwaz;Ahwaz;Ahwaz;;Ahwaz;;;;;;;;;x
d_ahwaz_adj;Ahwazi;Ahwazi;Ahwazi;;Ahwazi;;;;;;;;;x
d_jazira;Diyar Bakr;Diyar Bakr;Diyar Bakr;;Diyar Bakr;;;;;;;;;x
d_jazira_adj;Bakri;Bakri;Bakri;;Bakri;;;;;;;;;x
d_palmyra;Palmyra;Palmyra;Palmyra;;Palmyra;;;;;;;;;x
d_palmyra_adj;Palmyrian;Palmyrian;Palmyrian;;Palmyrian;;;;;;;;;x
d_berbera;Berbera;Berbera;Berbera;;Berbera;;;;;;;;;x
d_berbera_adj;Berberan;Berberan;Berberan;;Berberan;;;;;;;;;x
d_harer;Harer;Harer;Harer;;Harer;;;;;;;;;x
d_harer_adj;Harerian;Harerian;Harerian;;Harerian;;;;;;;;;x
d_asir;Asir;Asir;Asir;;Asir;;;;;;;;;x
d_asir_adj;Asiri;Asiri;Asiri;;Asiri;;;;;;;;;x
d_zabulistan;Khuttal;Khuttal;Khuttal;;Khuttal;;;;;;;;;x
d_zabulistan_adj;Khuttali;Khuttali;Khuttali;;Khuttali;;;;;;;;;x
d_azerbaijan;Shirwan;Shirwan;Shirwan;;Shirwan;;;;;;;;;x
d_azerbaijan_adj;Shirwani;Shirwani;Shirwani;;Shirwani;;;;;;;;;x
d_tabriz;Azerbaijan;Azerbaijan;Azerbaijan;;Azerbaijan;;;;;;;;;x
d_tabriz_adj;Azerbaijani;Azerbaijani;Azerbaijani;;Azerbaijani;;;;;;;;;x
d_darfur;Darfur;Darfur;Darfur;;Darfur;;;;;;;;;x
d_darfur_adj;Darfurian;Darfurian;Darfurian;;Darfurian;;;;;;;;;x
d_wadai;Wadai;Wadai;Wadai;;Wadai;;;;;;;;;x
d_wadai_adj;Wadaian;Wadaian;Wadaian;;Wadaian;;;;;;;;;x
