koasasa_taus;The Kosasa of Melek Taus;;;;;;;;;;;;;x
koasasa_taus_desc;This man has been identified as the reincarnation of Melek Taus;;;;;;;;;;;;;x
koasasa_israfel;The Kosasa of Melek Israfel;;;;;;;;;;;;;x
koasasa_israfel_desc;This man has been identified as the reincarnation of Melek Israfel;;;;;;;;;;;;;x
koasasa_azrael;The Kosasa of Melek Azrael;;;;;;;;;;;;;x
koasasa_azrael_desc;This man has been identified as the reincarnation of Melek Azrael;;;;;;;;;;;;;x
koasasa_mihael;The Kosasa of Melek Mihael;;;;;;;;;;;;;x
koasasa_mihael_desc;This man has been identified as the reincarnation of Melek Mihael;;;;;;;;;;;;;x
koasasa_dardael;The Kosasa of Melek Dardael;;;;;;;;;;;;;x
koasasa_dardael_desc;This man has been identified as the reincarnation of Melek Dardael;;;;;;;;;;;;;x
koasasa_samael;The Kosasa of Melek Samael;;;;;;;;;;;;;x
koasasa_samael_desc;This man has been identified as the reincarnation of Melek Samael;;;;;;;;;;;;;x
koasasa_nurael;The Kosasa of Melek Nurael;;;;;;;;;;;;;x
koasasa_nurael_desc;This man has been identified as the reincarnation of Melek Nurael;;;;;;;;;;;;;x
obj_yazidi_peace_desc;[This.GetTitledFirstName] wishes to be known as the King of Peace, as Malik Miran of old;;;;;;;;;;;;;x
obj_yazidi_peace_title;Be known as the King of Peace;;;;;;;;;;;;;x
yazidi_peace_lover;Reigning in Peace;;;;;;;;;;;;;x
nick_the_miran;the Miran;;;;;;;;;;;;;x
observe_peacock_feasting;Tawusgerran, the Circulation of the Peacock;;;;;;;;;;;;;x
observe_peacock_feasting_desc;A grand feast celebrating Melek Taus;;;;;;;;;;;;;x
choose_yazidi_patron_deity;Select an Archangel to Venerate;;;;;;;;;;;;;x
choose_yazidi_patron_deity_desc;Chose one of the Seven Mysteries to favor;;;;;;;;;;;;;x
patron_taus;Melek Taus;;;;;;;;;;;;;x
patron_israfel;Melek Israfel;;;;;;;;;;;;;x
patron_azrael;Melek Azrael;;;;;;;;;;;;;x
patron_mihael;Melek Mihael;;;;;;;;;;;;;x
patron_dardael;Melek Dardael;;;;;;;;;;;;;x
patron_samael;Melek Samael;;;;;;;;;;;;;x
patron_nurael;Melek Nurael;;;;;;;;;;;;;x
patron_taus_desc;This character venerates Melek Taus;;;;;;;;;;;;;x
patron_israfel_desc;This character venerates Melek Israfel;;;;;;;;;;;;;x
patron_azrael_desc;This character venerates Melek Azrael;;;;;;;;;;;;;x
patron_mihael_desc;This character venerates Melek Mihael;;;;;;;;;;;;;x
patron_dardael_desc;This character venerates Melek Dardael;;;;;;;;;;;;;x
patron_samael_desc;This character venerates Melek Samael;;;;;;;;;;;;;x
patron_nurael_desc;This character venerates Melek Nurael;;;;;;;;;;;;;x
EVTDESC_HRP_1000;You have begun preparations for the Tawusgerran, the Circulation of the Peacock. You send out messengers with invitations to your vassals, expecting all to come and honor [Root.Religion.GetRandomGodName].;;;;;;;;;;;;;x
EVTOPTA_HRP_1000;Come all to celebrate His Wisdom!;;;;;;;;;;;;;x
EVTDESC_HRP_1001;Dear vassal,\nI hereby invite you to attend the celebration of the Tawusgerran at [From.Capital.GetName].\n\nYour Liege,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTA_HRP_1001;I look forward to it!;;;;;;;;;;;;;x
EVTDESC_HRP_1002;Your vassal, [From.GetTitledName], has refused your invitation to the Tawusgerran.;;;;;;;;;;;;;x
EVTOPTA_HRP_1002;Well, I don't like him either;;;;;;;;;;;;;x
EVTDESC_HRP_1020;Guests have arrived from villages throughout the realm, to celebrate the Tawusgerran, The Circulation of the Peacock.  Priests walk throughout the crowds, giving out vials of Holy Water to the faithful.;;;;;;;;;;;;;x
EVTOPTA_HRP_1020;Let's get this party started!;;;;;;;;;;;;;x
EVTDESC_HRP_1096;The Tawusgerran is over for this time. [Root.Religion.GetRandomGodName] has been properly honored and the realm is looking forward to a bright future under His wisdom.;;;;;;;;;;;;;x
EVTOPTA_HRP_1096;Until next time!;;;;;;;;;;;;;x
