#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
coa_plain_kemetic;Kemetic Coat of Arms;;;;;;;;;;;;;x
###### Religion/titles definitions;;;;;;;;;;;;;;x
aten_pagan;Atenic;Atonien(ne);Atenic;;Atenic;;;;;;;;;x
aten_pagan_DESC;The Atenic religion is a proto-monotheistic religion that split off from Kemetism. Originally founded by the pharaoh Akhenaten, this heresy usurped the position of supreme god, typically held by Amun, with Aten. In addition, this heresy completely disowns the other Kemetic gods in complete favour of Aten. The heresy died out shortly after Akhenaten's death.;Le culte d'Aton est une religion proto-monothéiste qui dérive du Kémitisme. Fondée par le pharaon Akhénaton, cette hérésie plaça Aton en position de dieu supresme, au lieu de l'habituel Amon. De plus, cette hérésie balaie complètement les aultres dieux kémites en faveur d'Aton. L'hérésie disparut peu de temps après le trépas d'Akhénaton.;;;;;;;;;;;;x
###### Traits;;;;;;;;;;;;;;x
montu;Mighty Bull of Montu;;;;;;;;;;;;;x
montu_desc;This character is a veteran of a Kemetic Great Holy War.;;;;;;;;;;;;;x
atens_chosen;Lightbringer;;;;;;;;;;;;;x
atens_chosen_desc;This character is a veteran of an Atenic Great Holy War.;;;;;;;;;;;;;x
###### Coptic;;;;;;;;;;;;;;x 
ca_culture_egyptian_coptic_1;Shrine of Anhur;;;;;;;;;;;;;x
ca_culture_egyptian_coptic_2;Temple of Anhur;;;;;;;;;;;;;x
ca_culture_egyptian_coptic_3;High Temple of Anhur;;;;;;;;;;;;;x
ca_culture_egyptian_coptic_4;Grand Temple of Anhur;;;;;;;;;;;;;x
ca_culture_egyptian_coptic_1_desc;A building dedicated to the study of war. Named after Anhur, the god of war, this temple is home to the elite Anhuri Warriors. Here these fighters hone their skills with the Khopesh and mounted archery.;;;;;;;;;;;;;;x
RETTYPE_CUL_COPTIC;Anhuri Warriors;;;;;;;;;;;;;x
