levite_desc;This character belongs to the Tribe of Levi. It is the Israelite tribe of priests and scholars.;;;;;;;;;;;;;x
melech;Melech;;;;;;;;;;;;;x
melech_desc;Melech is the ancient Hebrew name for King.;;;;;;;;;;;;;x
TOOLTIPMELECH;;Melech is the ancient Hebrew name for King.;;;;;;;;;;;;;x
malkah;Malkah;;;;;;;;;;;;;x
malkah_desc;Malkah is the ancient Hebrew name for Queen.;;;;;;;;;;;;;x
TOOLTIPMALKAH;Malkah is the ancient Hebrew name for Queen.;;;;;;;;;;;;;x

kohen;Kohen;;;;;;;;;;;;;x
kohen_desc;Kohens are the priests from the Tribe of Levi that administer the Jewish rites.;;;;;;;;;;;;;x
TOOLTIPKOHEN;Kohens are the priests from the Tribe of Levi that administer the Jewish rites.;;;;;;;;;;;;;x
isralite_culture_modifer;Israelite Culture Modifiers;;;;;;;;;;;;;x
TOOLTIPISRAELITE_CULTURE_MODIFIERS;Israelite Culture Modifiers;;;;;;;;;;;;;x
purim_celebrations;Purim Celebrations;;;;;;;;;;;;;x
celebrate_purim;Celebrate Purim;;;;;;;;;;;;;x
celebrate_purim_desc;Celebrate Purim;;;;;;;;;;;;;x
held_purim_timer;Held Purim Timer;;;;;;;;;;;;;x
rosh_hashanah_celebrations;Rosh Hashanah Celebrations;;;;;;;;;;;;;x
celebrate_rosh_hashanah;Celebrate Rosh Hashanah;;;;;;;;;;;;;x
celebrate_rosh_hashanah_desc;Celebrate Rosh Hashanah;;;;;;;;;;;;;x
held_rosh_hashanah_timer;Held Rosh Hashanah Timer;;;;;;;;;;;;;x
yom_kippur_celebrations;Yom Kippur Celebrations;;;;;;;;;;;;;x
celebrate_yom_kippur;Celebrate Yom Kippur;;;;;;;;;;;;;x
celebrate_yom_kippur_desc;Celebrate Yom Kippur;;;;;;;;;;;;;x
held_yom_kippur_timer;Held Yom Kippur Timer;;;;;;;;;;;;;x
bar_mitzvah;Bar Mitzvah;;;;;;;;;;;;;x
bar_mitzvah_desc;A male child's celebration for them becoming an adult.;;;;;;;;;;;;;x
bat_mitzvah;Bat Mitzvah;;;;;;;;;;;;;x
bat_mitzvah_desc;A female child's celebration for them becoming an adult.;;;;;;;;;;;;;x
had_bar_mitzvah;Bar Mitzvah.;;;;;;;;;;;;;x
had_bar_mitzvah_desc;This character has had their Bar Mitzvah.;;;;;;;;;;;;;x
had_bat_mitzvah;Bat Mitzvah.;;;;;;;;;;;;;x
had_bat_mitzvah_desc;This character has had their Bat Mitzvah.;;;;;;;;;;;;;x
voice_of_yahweh; Voice of Yahweh;;;;;;;;;;;;;x
voice_of_yahweh_desc;This individual hears the voice of Yahweh.;;;;;;;;;;;;;x
rebuild_jerusalem;Rebuild Jerusalem;;;;;;;;;;;;;x
rebuild_jerusalem_desc;Rebuild Jerusalem back to being the jewel of the Levant.;;;;;;;;;;;;;x
beta_israel;Beta-Israel;;;;;;;;;;;;;x
beta_israel_desc;Beta-Israel is comprised of Ethiopian Jews.;;;;;;;;;;;;;x
rebuilding_jerusalem_local;Rebuilding Jerusalem;;;;;;;;;;;;;x
rebuilding_jerusalem_local_desc;The process of rebuilding Jerusalem.;;;;;;;;;;;;;x
jerusalem_upper_city;Rebuilding Jerusalem's Upper City;;;;;;;;;;;;;x
jerusalem_upper_city_desc;Rebuilding Jerusalem's Upper City to make it the marvel it used to be.;;;;;;;;;;;;;x
jerusalem_lower_city;Rebuilding Jerusalem's Lower City;;;;;;;;;;;;;x
jerusalem_lower_city_desc;Rebuilding Jerusalem's Lower City to increase the markets and the taxes it brings.;;;;;;;;;;;;;x
jerusalem_gates;Rebuilding Jerusalem's Gates;;;;;;;;;;;;;x
jerusalem_gates_desc;Rebuilding Jerusalem's Gates will make the city more beautiful because of their ornate and intricate details. Each one is different from the others.;;;;;;;;;;;;;x
ca_town_7;Castle Town VII;;;;;;;;;;;;;x
destroy_siqariqim;Destroy Siqariqim;;;;;;;;;;;;;x
destroy_siqariqim_desc;Destroy the Siqariqim and remove their threat.;;;;;;;;;;;;;x
rebuild_siqariqim;Rebuild Siqariqim;;;;;;;;;;;;;x
rebuild_siqariqim_desc;Rebuild the Siqariqim to their former glory.;;;;;;;;;;;;;x
HEAD_CHIEF_RABBI;Chief Rabbi;;;;;;;;;;;;;x
CB_NAME_ISRAEL_SUBJUGATION;Subjugation of Israel;;;;;;;;;;;;;x
israel_subjugation_desc;The subjugation of Israel to return its lands.;;;;;;;;;;;;;x
WAR_NAME_ISRAEL_SUBJUGATION;Subjugation of Israel;;;;;;;;;;;;;x
WAR_NAME_ISRAEL_SUBJUGATION_desc;The subjugation of Israel to return its lands.;;;;;;;;;;;;;x
