#Augustus and Company

augustus;Augustus;;;;;;;;;x 
augustus_desc;This character is the current ruler of the restored Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
augusta;Augusta;;;;;;;;;x 
augusta_desc;This character is the current ruler of the restored Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
autokrator;Autokrator;;;;;;;;;x 
autokrator_desc;This character is the current ruler of the Eastern Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
autokrateira;Autokrateira;;;;;;;;;x 
autokrateira_desc;This character is the current ruler of the Eastern Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 

COMPL_AUGUSTUS;Augustus;auguste;augustinische;;Augusto;;;;;;;;;x
COMPL_AUGUSTA;Augusta;;;;;;;;;x 
COMPL_AUTOKRATOR;Autokrator;;;;;;;;;x 
COMPL_AUTOKRATEIRA;Autokrateira;;;;;;;;;x 
