egyptian_grain;Egyptian Grain;;;;;;;;;x 
EVTDESCPA.10009;With the reconquest of the Nile delta, the grain supply to the Empire's cities has resumed.;;;;;;;;;x 
EVTDESCPA.10010;With the loss of the Nile delta, the grain supply to the Empire's cities has again ceased.;;;;;;;;;x 
EVTNAMEPA.10037;Fall of Thessalonika;;;;;;;;;x 
EVTDESCPA.10037;The city of Thessalonika has finally fallen to our forces and accepted [Root.GetTitledFirstName]'s rule. Named after Thessalonike, the wife of the diadochi Cassander, the city of Thessalonika flourished under Roman rule. It was one of the few cities in Greece which was able to resist the Slavic incursions in the 8th century, owing to it's strong defences. The second largest city in Greece after Constantinople, Thessalonika will make a fine addition to the Empire.;;;;;;;;;x 
EVTNAMEPA.10038;Fall of Athens;;;;;;;;;x 
EVTDESCPA.10038;The city of Athens has fallen to our forces and accepted [Root.GetTitledFirstName] as it's sovereign. One of the greatest cities of the ancient Greek world, Athens became a part of the Roman Republic in 146 BC and flourished under Imperial rule. The city remained under Roman control even after the losses to the Arabs, who failed to take Constantinople and invade Greece. While Athens may not be as large as it once was, it will still make a fine addition to the Empire.;;;;;;;;;x 
EVTNAMEPA.10039;Fall of Nicae;;;;;;;;;x 
EVTDESCPA.10039;The Nicaen Empire has fallen, leaving ourselves as the true heirs of Rome in the east. The Holy Roman Empire may have the support of the Pope, but we control Constantinople, the New Rome and city of the world's desire. The German pretenders can continue to play emperor, so long as they leave the East to it's true rulers. There are much more dangerous enemies close to home we need to deal with, such as the Muslim infidels who still control the Levant, Egypt and Africa.;;;;;;;;;x 
EVTNAMEPA.10071;Fall of Constantinople;;;;;;;;;x 
EVTDESCPA.10071;The city of Constantinople has finally fallen to our forces. Our ancestors have been fighting the Byzantines for centuries, but now the conflict is finally over. It was hard work breaching the Theodosian Walls, but the countless treasures which lay behind them more than make up for our losses. Control over the Sea of Marmara will greatly enrich our people and allow us to expand further. A golden age has begun for us, all thanks to [Root.GetTitledFirstName]'s leadership.;;;;;;;;;x 
EVTNAMEPA.10072;Fall of Thessalonika;;;;;;;;;x 
EVTDESCPA.10072;The city of Thessalonika has finally fallen to our forces and accepted [Root.GetTitledFirstName]'s rule. Named after Thessalonike, the wife of the diadochi Cassander, the city of Thessalonika flourished under Roman rule. It was one of the few cities in Greece which was able to resist the Slavic incursions in the 8th century, owing to it's strong defences. The second largest city in Greece after Constantinople, Thessalonika will make a fine addition to the kingdom.;;;;;;;;;x 
EVTNAMEPA.10073;Fall of Athens;;;;;;;;;x 
EVTDESCPA.10073;The city of Athens has fallen to our forces and accepted [Root.GetTitledFirstName] as it's sovereign. One of the greatest cities of the ancient Greek world, Athens became a part of the Roman Republic in 146 BC and flourished under Imperial rule. The city remained under Roman control even after the losses to the Arabs, who failed to take Constantinople and invade Greece. While Athens may not be as large as it once was, it will still make a fine addition to the kingdom.;;;;;;;;;x 
EVTNAMEPA.10074;Fall of Constantinople;;;;;;;;;x 
EVTDESCPA.10074;The city of Constantinople has finally fallen to our forces. Ever since the Fourth Crusade, the city has been under the control of either the Latin ilk or pretenders to the Empire. The trade which flows through the Sea of Marmara will greatly enrich our people, and Constantinople's strong defences will form a bulwark against eastern threats. The future of the realm is secured, all thanks to [Root.GetTitledFirstName]'s leadership.;;;;;;;;;x 
EVTNAMEPA.10076;Fall of Nicae;;;;;;;;;x 
EVTDESCPA.10076;The Nicaen Empire has fallen, leaving ourselves as the true heirs of Rome and Greece.  We are the true fore-bearers of Hellenistic culture, a fact none can deny any longer. A new golden age of Greek culture will begin under our protection, all thanks to [Root.GetTitledFirstName]'s leadership.;;;;;;;;;x 
EVTNAMEPA.10181;Fall of Francia;;;;;;;;;x 
EVTDESCPA.10181;The empire of Charlemagne has fallen. With the loss of so much territory to revolts, independence-minded nobles and foreign powers, it was only a matter of time before Francia toppled and fell. The Pope will need to look for a new protector, as the remnants of the empire fight among themselves for the right to claim the vacant throne. Although Francia may be gone, Charlemagne's memory still lives on, as does his dream of reforging the Roman Empire. Western Europe may see another emperor before too long, Francian or Roman.;;;;;;;;;x 
EVTNAMEPA.100290;The End of the Decline;;;;;;;;x
EVTDESCPA.100290;We have weathered the storm and the decline of the empire has been reversed;;;;;x
EVTNAMEPA.100291;Decline of the Abbassid Caliphate;;;;;;;x
EVTDESCPA.100291;Following the Fourth Fitna and other crisis's the Abbassid Caliphate has entered a period of decline and turbulence;;;;;;;;;x
EVTNAMEPA.100300;Fourth Fitna Imminent?;;;;;;x
EVTDESCPA.100300;There are many grumblings across the Empire that the vassals and administration are plotting to overthrow you and a civil war or series of them may be imminent;;;;;;;x
OPTPA_100300;This can't be good;;;;;;;;x
EVTNAMEPA.100292;The End of the Fitna;;;;;;;;x
EVTDESCPA.100292;The worst has past and stability can hopefully now prevail in the Caliphate;;;;;x
d_pharoah;Pharoah;;;;;;x
b_radhanite_1;Radhanite;;;;;x
b_radhanite_2;Radhanite;;;;;x
b_radhanite_3;Radhanite;;;;;x
b_radhanite_4;Radhanite;;;;;x
b_radhanite_5;Radhanite;;;;;x
b_radhanite_6;Radhanite;;;;;x
b_radhanite_7;Radhanite;;;;;x
b_radhanite_8;Radhanite;;;;;x
b_radhanite_9;Radhanite;;;;;x
b_radhanite_10;Radhanite;;;;;x
b_radhanite_11;Radhanite;;;;;x
b_radhanite_12;Radhanite;;;;;x
b_radhanite_13;Radhanite;;;;;x
b_radhanite_14;Radhanite;;;;;x
b_radhanite_15;Radhanite;;;;;x
b_radhanite_16;Radhanite;;;;;x
b_radhanite_17;Radhanite;;;;;x
b_radhanite_18;Radhanite;;;;;x
b_radhanite_19;Radhanite;;;;;x
b_radhanite_20;Radhanite;;;;;x
b_radhanite_21;Radhanite;;;;;x
b_radhanite_22;Radhanite;;;;;x
b_radhanite_23;Radhanite;;;;;x
b_radhanite_24;Radhanite;;;;;x
b_radhanite_25;Radhanite;;;;;x
b_radhanite_26;Radhanite;;;;;x
b_radhanite_27;Radhanite;;;;;x
b_radhanite_28;Radhanite;;;;;x
b_radhanite_29;Radhanite;;;;;x
b_radhanite_30;Radhanite;;;;;x
b_radhanite_31;Radhanite;;;;;x
b_radhanite_32;Radhanite;;;;;x
d_barcelon_tp;Barcelona;;;;;x
d_sonda_tp;Sonda;;;;;x
b_bet_natan;Bet Natan;;;;;x
b_bet_elisha;Bet Elisha;;;;;x
b_bet_mattan;Bet Mattan;;;;;x
b_bet_mattanyahu;Bet Mattanyahu;;;;;x
b_bet_menashsheh;Bet Manashsheh;;;;;x
d_honnore_tp;Honnore;;;;;x
b_bet_nethanel;Bet Nethanel;;;;;x
b_bet_mikhayhu;Bet Mikhayhu;;;;;x
b_bet_rafa'el;Bet Rada'el;;;;;x
b_bet_moshe;Bet Moshe;;;;;x
b_bet_nachum;Bet Nachum;;;;;x
d_melgueil_tp;Melgueil;;;;;x
b_bet_oved;Bet Oved;;;;;x
b_bet_hevel;Bet Hevel;;;;;x
b_bet_adoniyah;Bet Adoniyah;;;;;x
b_bet_noach;Bet Noach;;;;;x
b_bet_nadav;Be Nadav;;;;;x
b_orsini;Orsini;;;;;x
b_colonna;Colonna;;;;;x
b_annibaldi;Annibaldi;;;;;x
