ct_temple_judaism_community_1;Small Temple Judaism Community;;;;;;x
ct_temple_judaism_community_2;Temple Judaism Community;;;;;;x
ct_temple_judaism_community_3;Large Temple Judaism Community;;;;;;x
ct_arian_community_1;Small Arian Community;;;;;;x
ct_arian_community_2;Arian Community;;;;;;x
ct_arian_community_3;Large Arian Community;;;;;;x
ct_imperial_community_1;Small Imperial Community;;;;;;x
ct_imperial_community_2;Imperial Community;;;;;;x
ct_imperial_community_3;Large Imperial Community;;;;;;x
ct_donatism_community_1;Small Donatist Community;;;;;;x
ct_donatism_community_2;Donatist Community;;;;;;x
ct_donatism_community_3;Large Donatist Community;;;;;;x
ct_adoptionism_community_1;Small Adoptionist Community;;;;;;x
ct_adoptionism_community_2;Adoptionist Community;;;;;;x
ct_adoptionism_community_3;Large Adoptionist Community;;;;;;x
ct_sabellianism_community_1;Small Sabellianism Community;;;;;;x
ct_sabellianism_community_2;Sabellianism Community;;;;;;x
ct_sabellianism_community_3;Large Sabellianism Community;;;;;;x
ct_pelagianism_community_1;Small Pelagianism Community;;;;;;x
ct_pelagianism_community_2;Pelagianism Community;;;;;;x
ct_pelagianism_community_3;Large Pelagianism Community;;;;;;x
ct_macedonianism_community_1;Small Macedonianism Community;;;;;;x
ct_macedonianism_community_2;Macedonianism Community;;;;;;x
ct_macedonianism_community_3;Large Macedonianism Community;;;;;;x
ct_marcionism_community_1;Small Marcionism Community;;;;;;x
ct_marcionism_community_2;Marcionism Community;;;;;;x
ct_marcionism_community_3;Large Marcionism Community;;;;;;x
ct_valentinianism_community_1;Small Valentinianism Community;;;;;;x
ct_valentinianism_community_2;Valentinianism Community;;;;;;x
ct_valentinianism_community_3;Large Valentinianism Community;;;;;;x
ct_catholic_community_1;Small Catholic Community;;;;;;x
ct_catholic_community_2;Catholic Community;;;;;;x
ct_catholic_community_3;Large Catholic Community;;;;;;x
ct_cathar_community_1;Small Cathar Community;;;;;;x
ct_cathar_community_2;Cathar Community;;;;;;x
ct_cathar_community_3;Large Cathar Community;;;;;;x
ct_fraticelli_community_1;Small Fraticelli Community;;;;;;x
ct_fraticelli_community_2;Fraticelli Community;;;;;;x
ct_fraticelli_community_3;Large Fraticelli Community;;;;;;x
ct_waldensian_community_1;Small Waldensian Community;;;;;;x
ct_waldensian_community_2;Waldensian Community;;;;;;x
ct_waldensian_community_3;Large Waldensian Community;;;;;;x
ct_lollard_community_1;Small Lollard Community;;;;;;x
ct_lollard_community_2;Lollard Community;;;;;;x
ct_lollard_community_3;Large Lollard Community;;;;;;x
ct_orthodox_community_1;Small Orthodox Community;;;;;;x
ct_orthodox_community_2;Orthodox Community;;;;;;x
ct_orthodox_community_3;Large Orthodox Community;;;;;;x
ct_miaphysite_community_1;Small Miaphysite Community;;;;;;x
ct_miaphysite_community_2;Miaphysite Community;;;;;;x
ct_miaphysite_community_3;Large Miaphysite Community;;;;;;x
ct_paulician_community_1;Small Paulician Community;;;;;;x
ct_paulician_community_2;Paulician Community;;;;;;x
ct_paulician_community_3;Large Paulician Community;;;;;;x
ct_tondrakian_community_1;Small Tondrakian Community;;;;;;x
ct_tondrakian_community_2;Tondrakian Community;;;;;;x
ct_tondrakian_community_3;Large Tondrakian Community;;;;;;x
ct_monophysite_community_1;Small Monophysite Community;;;;;;x
ct_monophysite_community_2;Monophysite Community;;;;;;x
ct_monophysite_community_3;Large Monophysite Community;;;;;;x
ct_bogomilist_community_1;Small Bogomilist Community;;;;;;x
ct_bogomilist_community_2;Bogomilist Community;;;;;;x
ct_bogomilist_community_3;Large Bogomilist Community;;;;;;x
ct_monothelite_community_1;Small Monothelite Community;;;;;;x
ct_monothelite_community_2;Monothelite Community;;;;;;x
ct_monothelite_community_3;Large Monothelite Community;;;;;;x
ct_iconoclast_community_1;Small Iconoclast Community;;;;;;x
ct_iconoclast_community_2;Iconoclast Community;;;;;;x
ct_iconoclast_community_3;Large Iconoclast Community;;;;;;x
ct_nestorian_community_1;Small Nestorian Community;;;;;;x
ct_nestorian_community_2;Nestorian Community;;;;;;x
ct_nestorian_community_3;Large Nestorian Community;;;;;;x
ct_eutychian_community_1;Small Eutychian Community;;;;;;x
ct_eutychian_community_2;Eutychian Community;;;;;;x
ct_eutychian_community_3;Large Eutychian Community;;;;;;x
ct_messalian_community_1;Small Messalian Community;;;;;;x
ct_messalian_community_2;Messalian Community;;;;;;x
ct_messalian_community_3;Large Messalian Community;;;;;;x
ct_sunni_community_1;Small Sunni Community;;;;;;x
ct_sunni_community_2;Sunni Community;;;;;;x
ct_sunni_community_3;Large Sunni Community;;;;;;x
ct_zikri_community_1;Small Zikri Community;;;;;;x
ct_zikri_community_2;Zikri Community;;;;;;x
ct_zikri_community_3;Large Zikri Community;;;;;;x
ct_yazidi_community_1;Small Yazidi Community;;;;;;x
ct_yazidi_community_2;Yazidi Community;;;;;;x
ct_yazidi_community_3;Large Yazidi Community;;;;;;x
ct_ibadi_community_1;Small Ibadi Community;;;;;;x
ct_ibadi_community_2;Ibadi Community;;;;;;x
ct_ibadi_community_3;Large Ibadi Community;;;;;;x
ct_kharijite_community_1;Small Kharijite Community;;;;;;x
ct_kharijite_community_2;Kharijite Community;;;;;;x
ct_kharijite_community_3;Large Kharijite Community;;;;;;x
ct_shiite_community_1;Small Shiite Community;;;;;;x
ct_shiite_community_2;Shiite Community;;;;;;x
ct_shiite_community_3;Large Shiite Community;;;;;;x
ct_druze_community_1;Small Druze Community;;;;;;x
ct_druze_community_2;Druze Community;;;;;;x
ct_druze_community_3;Large Druze Community;;;;;;x
ct_qarmatian_community_1;Small Qarmatian Community;;;;;;x
ct_qarmatian_community_2;Qarmatian Community;;;;;;x
ct_qarmatian_community_3;Large Qarmatian Community;;;;;;x
ct_hurufi_community_1;Small Hurufi Community;;;;;;x
ct_hurufi_community_2;Hurufi Community;;;;;;x
ct_hurufi_community_3;Large Hurufi Community;;;;;;x
ct_pagan_community_1;Small Pagan Community;;;;;;x
ct_pagan_community_2;Pagan Community;;;;;;x
ct_pagan_community_3;Large Pagan Community;;;;;;x
ct_mesopotamian_paganism_community_1;Small Mesopatamian Community;;;;;;x
ct_mesopotamian_paganism_community_2;Mesopatamian Community;;;;;;x
ct_mesopotamian_paganism_community_3;Large Mesopatamian Community;;;;;;x
ct_norse_pagan_reformed_community_1;Small Asatru Community;;;;;;x
ct_norse_pagan_reformed_community_2;Asatru Community;;;;;;x
ct_norse_pagan_reformed_community_3;Large Asatru Community;;;;;;x
ct_norse_pagan_community_1;Small Nordic Community;;;;;;x
ct_norse_pagan_community_2;Nordic Community;;;;;;x
ct_norse_pagan_community_3;Large Nordic Community;;;;;;x
ct_tengri_pagan_reformed_community_1;Small Tengri Community;;;;;;x
ct_tengri_pagan_reformed_community_2;Tengri Community;;;;;;x
ct_tengri_pagan_reformed_community_3;Large Tengri Community;;;;;;x
ct_tengri_pagan_community_1;Small Altaic Community;;;;;;x
ct_tengri_pagan_community_2;Altaic Community;;;;;;x
ct_tengri_pagan_community_3;Large Altaic Community;;;;;;x
ct_baltic_pagan_reformed_community_1;Small Romuva Community;;;;;;x
ct_baltic_pagan_reformed_community_2;Romuva Community;;;;;;x
ct_baltic_pagan_reformed_community_3;Large Romuva Community;;;;;;x
ct_baltic_pagan_community_1;Small Baltic Community;;;;;;x
ct_baltic_pagan_community_2;Baltic Community;;;;;;x
ct_baltic_pagan_community_3;Large Baltic Community;;;;;;x
ct_finnish_pagan_reformed_community_1;Small Suomenusko Community;;;;;;x
ct_finnish_pagan_reformed_community_2;Suomenusko Community;;;;;;x
ct_finnish_pagan_reformed_community_3;Large Suomenusko Community;;;;;;x
ct_finnish_pagan_community_1;Small Uralic Community;;;;;;x
ct_finnish_pagan_community_2;Uralic Community;;;;;;x
ct_finnish_pagan_community_3;Large Uralic Community;;;;;;x
ct_aztec_reformed_community_1;Small Reformed Aztec Community;;;;;;x
ct_aztec_reformed_community_2;Reformed Aztec Community;;;;;;x
ct_aztec_reformed_community_3;Large Reformed Aztec Community;;;;;;x
ct_aztec_community_1;Small Aztec Community;;;;;;x
ct_aztec_community_2;Aztec Community;;;;;;x
ct_aztec_community_3;Large Aztec Community;;;;;;x
ct_slavic_pagan_reformed_community_1;Small
ct_slavic_pagan_reformed_community_2;
ct_slavic_pagan_reformed_community_3;Large
ct_slavic_pagan_community_1;Small Rodnover Community;;;;;;x
ct_slavic_pagan_community_2;Rodnover Community;;;;;;x
ct_slavic_pagan_community_3;Large Rodnover Community;;;;;;x
ct_west_african_pagan_reformed_community_1;Small Sahelian Community;;;;;;x
ct_west_african_pagan_reformed_community_2;Sahelian Community;;;;;;x
ct_west_african_pagan_reformed_community_3;Large Sahelian Community;;;;;;x
ct_west_african_pagan_community_1;Small West African Community;;;;;;x
ct_west_african_pagan_community_2;West African Community;;;;;;x
ct_west_african_pagan_community_3;Large West African Community;;;;;;x
ct_zalmoxism_community_1;Small Zalmoxian Community;;;;;;x
ct_zalmoxism_community_2;Zalmoxian Community;;;;;;x
ct_zalmoxism_community_3;Large Zalmoxian Community;;;;;;x
ct_zun_pagan_reformed_community_1;Small Zunist Community;;;;;;x
ct_zun_pagan_reformed_community_2;Zunist Community;;;;;;x
ct_zun_pagan_reformed_community_3;Large Zunist Community;;;;;;x
ct_zun_pagan_community_1;Small Zun Community;;;;;;x
ct_zun_pagan_community_2;Zun Community;;;;;;x
ct_zun_pagan_community_3;Large Zun Community;;;;;;x
ct_hellenic_pagan_community_1;Small Greco-Roman Community;;;;;;x 
ct_hellenic_pagan_community_2;Greco-Roman Community;;;;;;x 
ct_hellenic_pagan_community_3;Large Greco-Roman Community;;;;;;x 
ct_hellenic_pagan_reformed_community_1;Small Hellenic Community;;;;;;x
ct_hellenic_pagan_reformed_community_2;Hellenic Community;;;;;;x
ct_hellenic_pagan_reformed_community_3;Large Hellenic Community;;;;;;x
ct_sol_invictus_community_1;Small Sol Invictus Community;;;;;;x
ct_sol_invictus_community_2;Sol Invictus Community;;;;;;x
ct_sol_invictus_community_3;Large Sol Invictus Community;;;;;;x
ct_egyptian_pagan_community_1;Small Kemetic Community;;;;;;x
ct_egyptian_pagan_community_2;Kemetic Community;;;;;;x
ct_egyptian_pagan_community_3;Large Kemetic Community;;;;;;x
ct_egyptian_pagan_reformed_community_1;Small Amunite Community;;;;;;x
ct_egyptian_pagan_reformed_community_2;Amunite Community;;;;;;x
ct_egyptian_pagan_reformed_community_3;Large Amunite Community;;;;;;x
ct_basque_pagan_reformed_community_1;Small Vasconic Community;;;;;;x
ct_basque_pagan_reformed_community_2;Vasconic Community;;;;;;x
ct_basque_pagan_reformed_community_3;Large Vasconic Community;;;;;;x
ct_basque_pagan_community_1;Small Basque Community;;;;;;x
ct_basque_pagan_community_2;Basque Community;;;;;;x
ct_basque_pagan_community_3;Large Basque Community;;;;;;x
ct_germanic_pagan_reformed_community_1;Small Wodenic Community;;;;;;x
ct_germanic_pagan_reformed_community_2;Wodenic Community;;;;;;x
ct_germanic_pagan_reformed_community_3;Large Wodenic Community;;;;;;x
ct_germanic_pagan_community_1;Small Germanic Community;;;;;;x
ct_germanic_pagan_community_2;Germanic Community;;;;;;x
ct_germanic_pagan_community_3;Large Germanic Community;;;;;;x
ct_semitic_pagan_reformed_community_1;Small Hubalic Community;;;;;;x
ct_semitic_pagan_reformed_community_2;Hubalic Community;;;;;;x
ct_semitic_pagan_reformed_community_3;Large Hubalic Community;;;;;;x
ct_semitic_pagan_community_1;Small Arabic Polytheist Community;;;;;;x
ct_semitic_pagan_community_2;Arabic Polytheist Community;;;;;;x
ct_semitic_pagan_community_3;Large Arabic Polytheist Community;;;;;;x
ct_east_african_pagan_reformed_community_1;Small Waaqi Community;;;;;;x
ct_east_african_pagan_reformed_community_2;Waaqi Community;;;;;;x
ct_east_african_pagan_reformed_community_3;Large Waaqi Community;;;;;;x
ct_east_african_pagan_community_1;Small East African Community;;;;;;x
ct_east_african_pagan_community_2;East African Community;;;;;;x
ct_east_african_pagan_community_3;Large East African Community;;;;;;x
ct_ossetian_pagan_reformed_community_1;Small Etseg Din Community;;;;;;x
ct_ossetian_pagan_reformed_community_2;Etseg Din Community;;;;;;x
ct_ossetian_pagan_reformed_community_3;Large Etseg Din Community;;;;;;x
ct_ossetian_pagan_community_1;Small Ossetian Community;;;;;;x
ct_ossetian_pagan_community_2;Ossetian Community;;;;;;x
ct_ossetian_pagan_community_3;Large Ossetian Community;;;;;;x
ct_zoroastrian_community_1;Small Zoroastrian Community;;;;;;x
ct_zoroastrian_community_2;Zoroastrian Community;;;;;;x
ct_zoroastrian_community_3;Large Zoroastrian Community;;;;;;x
ct_mazdaki_community_1;Small Khurramite Community;;;;;;x
ct_mazdaki_community_2;Khurramite Community;;;;;;x
ct_mazdaki_community_3;Large Khurramite Community;;;;;;x
ct_manichean_community_1;Small Manichean Community;;;;;;x
ct_manichean_community_2;Manichean Community;;;;;;x
ct_manichean_community_3;Large Manichean Community;;;;;;x
ct_jewish_community_1;Small Rabbinic Community;;;;;;x
ct_jewish_community_2;Rabbinic Community;;;;;;x
ct_jewish_community_3;Large Rabbinic Community;;;;;;x
ct_samaritan_community_1;Small Samaritan Community;;;;;;x
ct_samaritan_community_2;Samaritan Community;;;;;;x
ct_samaritan_community_3;Large Samaritan Community;;;;;;x
ct_karaite_community_1;Small Karaite Community;;;;;;x;;;;;;x
ct_karaite_community_2;Karaite Community;;;;;;x;;;;;;x
ct_karaite_community_3;Large Karaite Community;;;;;;x;;;;;;x
ct_hindu_community_1;Small Hindu Community;;;;;;x;;;;;;x
ct_hindu_community_2;Hindu Community;;;;;;x;;;;;;x
ct_hindu_community_3;Large Hindu Community;;;;;;x;;;;;;x
ct_buddhist_community_1;Small Buddhist Community;;;;;;x
ct_buddhist_community_2;Buddhist Community;;;;;;x
ct_buddhist_community_3;Large Buddhist Community;;;;;;x
ct_jain_community_1;Small Jain Community;;;;;;x
ct_jain_community_2;Jain Community;;;;;;x
ct_jain_community_3;Large Jain Community;;;;;;x
ct_zurvanite_community_1;Small Zurvanite Community;;;;;;x
ct_zurvanite_community_2;Zurvanite Community;;;;;;x
ct_zurvanite_community_3;Large Zurvanite Community;;;;;;x
ct_mandean_community_1;Small Mandean Community;;;;;;x
ct_mandean_community_2;Mandean Community;;;;;;x
ct_mandean_community_3;Large Mandean Community;;;;;;x
ct_grand_sanhedrin_community_1;Small Sanhedrin Community;;;;;;x
ct_grand_sanhedrin_community_2;Sanhedrin Community;;;;;;x
ct_grand_sanhedrin_community_3;Large Sanhedrin Community;;;;;;x
