#CODE;ENGLISH;;;;;;;;;x 
EVTDESC_MG_2;I have been recognised as a skilful commander.;;;;;;;;;x 
EVTOPTA_MG_2;Excellent.;;;;;;;;;x 
EVTDESC_MG_20;I feel I deserve a triumph! Should I ask my liege?;;;;;;;;;x 
EVTOPTA_MG_20;Yes.;;;;;;;;;x 
EVTOPTA_MG_20;No.;;;;;;;;;x 
EVTDESC_MG_30;[From.GetBestName] would like me to grand him a triumph in recognition of his military skills.;;;;;;;;;x 
EVTOPTA_MG_20;He deserves it.;;;;;;;;;x 
EVTOPTB_MG_20;I'd rather not.;;;;;;;;;x 
EVTDESC_MG_100;[From.GetBestName] refused my request.;;;;;;;;;x 
EVTOPTA_MG_100;They will regret this...;;;;;;;;;x 
EVTDESC_MG_101;[From.GetBestName] accepted my request.;;;;;;;;;x 
EVTOPTA_MG_101;Glory is mine!;;;;;;;;;x 
succ_commander;Successful General;;;;;;;;;x 
succ_commander_desc;This character is skilful at leading men into battle.;;;;;;;;;x 
