#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;
EVTDESC_MCW_1;The common people in some of the provinces of our realm have always been undeniably foreign, but many of them are not so foreign as to be completely alien to us. As the years go on, a few these people have gradually adopted more and more of our ways, and with a little royal patronage they could perhaps become our own brethren...;;;;;;;;;;;;;x
EVTOPTA_MCW_1;It shall be done!;;;;;;;;;;;;;x
EVTOPTB_MCW_1;We must preserve our own distinctiveness.;;;;;;;;;;;;;x
EVTDESC_MCW_3;Although our lands are good and our realm is full of splendour, some parts of our territory have long been inhabited by infidel barbarians, inveterate heathens who spurn honesty, truth and faith. Despite their ignorant ways, these people live on rich soil, soil which would better serve our own diligent and productive countrymen.;;;;;;;;;;;;;x
EVTOPTA_MCW_3;Open the land up to our settlers.;;;;;;;;;;;;;x
EVTOPTB_MCW_3;It is important to stay clear of these heathens.;;;;;;;;;;;;;x
EVTDESC_MCW_4;Our own people have a long and proud history, that much is certain. But compared to the imperial splendour of these foreign lands even we cannot help feeling somewhat inadequate. As a ruler, I find it a great challenge to govern over a nation with such strong and ancient traditions of their own, and I find that I rely more and more on native talent to staff my court. Perhaps it is time for our people to truly don the awe-inspiring mantle that has been left for us...;;;;;;;;;;;;;x
EVTOPTA_MCW_4;We must make ourselves the true heirs of these lands.;;;;;;;;;;;;;x
EVTOPTB_MCW_4;We will eclipse their glory in time...;;;;;;;;;;;;;x
EVTDESC_MCW_5;I lead a busy life, but every few weeks I make sure to wander the teeming streets that hang like a garland of life and activity around the pinnacles and ramparts of my palace. As a foreigner in these lands I can't help but to feel something of a cringe as I compare my own uncouth accent with the refined tongue of the locals, and the wares sold by the merchants and artisans are certainly a notch above anything in our homeland.;;;;;;;;;;;;;x
EVTOPTA_MCW_5;I will teach myself to be more like these people!;;;;;;;;;;;;;x
EVTOPTB_MCW_5;The grass is always greener on the other side...;;;;;;;;;;;;;x
EVTDESC_MCW_6;Towns to tax, cities to maintain, clergy to appease, peasants to lord over: the multitude of skills need to rule over such an old and complex country as this can barely be overstated. Our people are simple and yearn for the simpler life back home, and our rather rustic ways make it difficult for us to earn the full respect of the locals. So far I've resisted the allure of falling into soft foreign ways, but is there really any point?;;;;;;;;;;;;;x
EVTOPTA_MCW_6;We cannot be mere bumpkins any longer.;;;;;;;;;;;;;x
EVTOPTB_MCW_6;Our pride brought us this far, why give in now?;;;;;;;;;;;;;x
