#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;
RULE_RANDOM_SHIFTS;Random cultural shifts;;;;;;;;;;;;;x
RULE_RANDOM_SHIFTS_ON;On;;;;;;;;;;;;;x
RULE_RANDOM_SHIFTS_ON_DESC;There is a small base chance of provinces changing culture via random assimilation and migration events during the game.;;;;;;;;;;;;;x
RULE_RANDOM_SHIFTS_OFF;Off;;;;;;;;;;;;;x
RULE_RANDOM_SHIFTS_OFF_DESC;Provinces will never change culture via assimilation (except in melting pots), and random migrations are disabled.;;;;;;;;;;;;;x
RULE_RANDOM_SHIFTS_FAST;Fast;;;;;;;;;;;;;x
RULE_RANDOM_SHIFTS_FAST_DESC;Random assimilation and migration events are twice as likely compared to the standard MCW mod setting.;;;;;;;;;;;;;x
RULE_RULER_ASSIMILATION;Ruler Assimilation;;;;;;;;;;;;;x
RULE_RULER_ASSIMILATION_ON;On;;;;;;;;;;;;;x
RULE_RULER_ASSIMILATION_ON_DESC;Rulers have a good chance of adopting local cultures that are more prestigious than their own. The larger the prestige difference, the more likely assimilation becomes.;;;;;;;;;;;;;x
RULE_RULER_ASSIMILATION_OFF;Off;;;;;;;;;;;;;x
RULE_RULER_ASSIMILATION_OFF_DESC;Rulers will never adopt local cultures by event.;;;;;;;;;;;;;x
RULE_DYNAMIC_MIGRATIONS;Dynamic Migrations;;;;;;;;;;;;;x
RULE_DYNAMIC_MIGRATIONS_ON;On;;;;;;;;;;;;;x
RULE_DYNAMIC_MIGRATIONS_ON_DESC;Cultures will gradually migrate across the map, controlled by a wide variety of different factors including culture type, land habitability, religion and proximity to water.;;;;;;;;;;;;;x
RULE_DYNAMIC_MIGRATIONS_OFF;Off;;;;;;;;;;;;;x
RULE_DYNAMIC_MIGRATIONS_OFF_DESC;Only the basic random migration events will happen, slowing down cultural change.;;;;;;;;;;;;;x
