From;To;Type;Through;-1;-1;-1;-1;Comment
35;40;sea;992;-1;-1;-1;-1;Western Isles-Moray
35;39;sea;992;-1;-1;-1;-1;Western Isles-Ross
36;37;sea;993;-1;-1;-1;-1;Orkney-Caithness
72;73;sea;965;-1;-1;-1;-1;Essex-Kent
78;79;sea;973;-1;-1;-1;-1;Brugge-Zeeland
79;80;sea;973;-1;-1;-1;-1;Zeeland-Holland
79;92;sea;973;-1;-1;-1;-1;Zeeland-Breda
79;93;sea;973;-1;-1;-1;-1;Zeeland-Gent
81;84;sea;973;-1;-1;-1;-1;Westfriesland-Frisia
263;848;sea;1000;-1;-1;-1;-1;Holstein-Bremen
263;259;sea;1000;-1;-1;-1;-1;Holstein-Celle
264;265;sea;999;-1;-1;-1;-1;Slesvig-Fyn
265;266;sea;999;-1;-1;-1;-1;Fyn-Sjaelland
266;303;sea;999;-1;-1;-1;-1;Sjaelland-Skåne
290;291;sea;1005;-1;-1;-1;-1;Uppland-Åland
290;292;sea;959;-1;-1;-1;-1;Uppland-Södermanland
291;382;sea;1005;-1;-1;-1;-1;Åland-Suomi
293;297;sea;962;-1;-1;-1;-1;Östergötland-Västergötland
931;300;sea;1003;-1;-1;-1;-1;Möre-Öland
303;305;sea;999;-1;-1;-1;-1;Skåne-Bornholm
304;308;sea;999;-1;-1;-1;-1;Rügen-Wolgast
304;306;sea;999;-1;-1;-1;-1;Rügen-Rostock
304;307;sea;999;-1;-1;-1;-1;Rügen-Werle
324;325;sea;1027;-1;-1;-1;-1;Corsica-Arborea
338;339;sea;1036;-1;-1;-1;-1;Reggio-Messina
373;376;sea;1004;-1;-1;-1;-1;Kurzeme-Saaremaa
376;377;sea;1004;-1;-1;-1;-1;Saaremaa-Liivimaa
473;474;sea;1037;-1;-1;-1;-1;Arta-Corfu
474;476;sea;1037;-1;-1;-1;-1;Corfu-Achaia
475;476;sea;1037;-1;-1;-1;-1;Hellas-Achaia
483;747;sea;936;-1;-1;-1;-1;Rhodos-Lykia
484;485;sea;1017;-1;-1;-1;-1;Naxos-Euboia
486;746;sea;1111;-1;-1;-1;-1;Samos-Ephesos
487;744;sea;1111;-1;-1;-1;-1;Lesbos-Abydos
495;744;sea;947;-1;-1;-1;-1;Kaliopolis-Abydos
562;598;sea;969;-1;-1;-1;-1;Korchev-Tmutarakan
826;827;sea;1022;-1;-1;-1;-1;Menorca-Mallorca
870;653;sea;1391;-1;-1;-1;-1;Dhu Zabi-Bahrein
652;653;sea;1391;-1;-1;-1;-1;Al Hasa-Bahrein
1295;1331;sea;1293;-1;-1;-1;-1;Kutch-Sonda
301;932;sea;1003;-1;-1;-1;-1;Gotland-Tjust
641;870;sea;1393;-1;-1;-1;-1;Hormuz-Dhu Zabi
496;741;sea;947;-1;-1;-1;-1;Byzantion-Nikomedia
1195;1112;sea;1404;-1;-1;-1;-1;Pihiti-Madurai
259;261;major_river;1046;-1;-1;-1;-1;Celle-Hamburg
258;261;major_river;1046;-1;-1;-1;-1;Lüneburg-Hamburg
258;262;major_river;1046;-1;-1;-1;-1;Lüneburg-Lübeck
258;260;major_river;1047;-1;-1;-1;-1;Lüneburg-Mecklenburg
258;365;major_river;1047;-1;-1;-1;-1;Lüneburg-Brandenburg
80;92;major_river;1043;-1;-1;-1;-1;Holland-Breda
82;92;major_river;1043;-1;-1;-1;-1;Sticht-Breda
83;92;major_river;1043;-1;-1;-1;-1;Gelre-Breda
89;92;major_river;1043;-1;-1;-1;-1;Kleve-Breda
89;119;major_river;1043;-1;-1;-1;-1;Kleve-Köln
ZZZZ;119;major_river;1044;-1;-1;-1;-1;ZZZZ-Köln
118;ZZZZ;major_river;1044;-1;-1;-1;-1;Trier-ZZZZ
123;118;major_river;1045;-1;-1;-1;-1;Mainz-Trier
92;90;major_river;1049;-1;-1;-1;-1;Breda-Julich
92;119;major_river;1049;-1;-1;-1;-1;Breda-Köln
91;90;major_river;1049;-1;-1;-1;-1;Loon-Julich
91;116;major_river;1049;-1;-1;-1;-1;Loon-Liege
117;116;major_river;1050;-1;-1;-1;-1;Brabant-Liege
94;116;major_river;1050;-1;-1;-1;-1;Hainaut-Liege
113;116;major_river;1050;-1;-1;-1;-1;Vermandois-Liege
113;115;major_river;1050;-1;-1;-1;-1;Vermandois-Luxembourg
97;99;major_river;1041;-1;-1;-1;-1;Rouen-Evreux
98;99;major_river;1041;-1;-1;-1;-1;Vexin-Evreux
98;112;major_river;1042;-1;-1;-1;-1;Vexin-Paris
95;112;major_river;1042;-1;-1;-1;-1;Amiens-Paris
106;142;major_river;1039;-1;-1;-1;-1;Nantes-Thouars
107;142;major_river;1039;-1;-1;-1;-1;Anjou-Thouars
107;141;major_river;1040;-1;-1;-1;-1;Anjou-Poitiers
107;140;major_river;1040;-1;-1;-1;-1;Anjou-Tours
108;140;major_river;1040;-1;-1;-1;-1;Maine-Tours
109;140;major_river;1040;-1;-1;-1;-1;Vendome-Tours
143;149;major_river;1107;-1;-1;-1;-1;Saintonge-Bordeaux
149;215;major_river;1107;-1;-1;-1;-1;Bordeaux-Agen
150;215;major_river;1108;-1;-1;-1;-1;Albret-Agen
209;215;major_river;1108;-1;-1;-1;-1;Armagnac-Agen
368;370;major_river;1051;-1;-1;-1;-1;Gdansk-Marienburg
368;369;major_river;1051;-1;-1;-1;-1;Gdansk-Chelmno
375;374;major_river;1080;-1;-1;-1;-1;Latgale-Zemgale
416;374;major_river;1081;-1;-1;-1;-1;Daugava-Zemgale
416;420;major_river;1081;-1;-1;-1;-1;Daugava-Vilnius
416;934;major_river;1081;-1;-1;-1;-1;Daugava-Lepiel
419;934;major_river;1081;-1;-1;-1;-1;Polotsk-Lepiel
419;417;major_river;1082;-1;-1;-1;-1;Polotsk-Vitebsk
419;568;major_river;1082;-1;-1;-1;-1;Polotsk-Smolensk
392;411;major_river;1083;-1;-1;-1;-1;Kexholm-Ingria
411;409;major_river;1085;-1;-1;-1;-1;Ingria-Ladoga
411;414;major_river;1085;-1;-1;-1;-1;Ingria-Novgorod
415;414;major_river;1087;-1;-1;-1;-1;Luki-Novgorod
415;410;major_river;1087;-1;-1;-1;-1;Luki-Toropets
393;409;major_river;1084;-1;-1;-1;-1;Ääninen-Ladoga
393;404;major_river;1084;-1;-1;-1;-1;Ääninen-Zaozerye
408;406;major_river;1100;-1;-1;-1;-1;Beloozero-Vologda
572;406;major_river;1100;-1;-1;-1;-1;Yaroslavl-Vologda
572;407;major_river;1100;-1;-1;-1;-1;Yaroslavl-Kostroma
408;405;major_river;1101;-1;-1;-1;-1;Beloozero-Chud
572;574;major_river;1105;-1;-1;-1;-1;Yaroslavl-Rostov
571;570;major_river;1105;-1;-1;-1;-1;Uglich-Tver
571;574;major_river;1105;-1;-1;-1;-1;Uglich-Rostov
571;573;major_river;1105;-1;-1;-1;-1;Uglich-Pereyaslavl Zalessky
412;570;major_river;1106;-1;-1;-1;-1;Torzhok-Tver
407;574;major_river;1099;-1;-1;-1;-1;Kostroma-Merya
407;585;major_river;1099;-1;-1;-1;-1;Kostroma-Gorodez
586;585;major_river;1099;-1;-1;-1;-1;Galich-Gorodez
588;585;major_river;1098;-1;-1;-1;-1;Meri-Gorodez
588;584;major_river;1098;-1;-1;-1;-1;Meri-Nizhny Novgorod
588;590;major_river;1098;-1;-1;-1;-1;Meri-Chuvash
589;590;major_river;1097;-1;-1;-1;-1;Kerzhenets-Chuvash
