# CK2RELIGION;EU4RELIGION;Custom Defined;Comment

# Pagan

norse_pagan;animism;0;Norse
norse_pagan_reformed;norse_pagan_reformed;0;Reformed Norse
tengri_pagan;tengri_pagan_reformed;0;Tengri
tengri_pagan_reformed;tengri_pagan_reformed;1;Reformed Tengri
baltic_pagan;animism;0;Romuva
baltic_pagan_reformed;baltic_pagan_reformed;1;Reformed Romuva
finnish_pagan;animism;0;Suomenusko
finnish_pagan_reformed;finnish_pagan_reformed;1;Reformed Suomenusko
aztec;nahuatl;0;Nahuatl
aztec_reformed;nahuatl;0;Nahuatl
slavic_pagan;animism;0;Slavic
slavic_pagan_reformed;slavic_pagan_reformed;1;Reformed Slavic
west_african_pagan;shamanism;0;West African
west_african_pagan_reformed;west_african_pagan_reformed;1;Reformed West African
hellenic_pagan;hellenic_pagan;1;Hellenic
zun_pagan;zoroastrian;0;Zunist
zun_pagan_reformed;zun_pagan_reformed;1;Zunist

# Zoroastrianism

zoroastrian;zoroastrian;1;Zoroastrian
mazdaki;zoroastrian;1;Zoroastrian
manichean;zoroastrian;1;Zoroastrian

# Christianity

catholic;catholic;0;Catholic
cathar;catholic;0;Catholic
fraticelli;catholic;0;Catholic
waldensian;catholic;0;Catholic
lollard;catholic;0;Catholic
orthodox;orthodox;0;Orthodox
monophysite;orthodox;0;Orthodox
bogomilist;orthodox;0;Orthodox
nestorian;coptic;0;Coptic
monothelite;orthodox;0;Orthodox
iconoclast;orthodox;0;Orthodox
miaphysite;coptic;0;Coptic
messalian;coptic;0;Coptic

# Islam

sunni;sunni;0;Sunni
zikri;sunni;0;Sunni
yazidi;sunni;0;Sunni
ibadi;ibadi;0;ibadi
shiite;shiite;0;Shiite
druze;shiite;0;Shiite
hurufi;shiite;0;Shiite

# Judaism
jewish;jewish;0;Jewish
samaritan;jewish;0;Jewish
karaite;jewish;0;Jewish

# Indian
buddhist;buddhism;0;Buddhist
hindu;hinduism;0;Hindu
jain;jain;1;Jain
