#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Vanilla Provinces
PROV673;Hereti;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV679;Shida Kartli;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV683;Arzan;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV704;Sper;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
#New Provinces
PROV1438;Lekia;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV1439;Sarir;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV1440;Klarjeti;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV1441;Kvemo Kartli;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV1442;Karbala;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV1444;Barda'a;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV1445;Khachen;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV1447;Amida;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
#New Sea Provinces
PROV1446;Lake Van;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
#Unused Provinces
PROV1443;#;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
