
#------------------------------------------------------------------------------#
# «È©¸ÌïŒ èˆ¥È±³«È«· / ëˆ±È¢È«·Ì èˆ¥È±³«È«·                                      #
#------------------------------------------------------------------------------#

mod_event_interval_notification_flag_modifier_go_on_a_walk;«¹Ý¬ÈçÆÐ ª³Ì®´É²³¥³.;;;;;;;;;;;;;x
mod_event_interval_notification_flag_modifier_spouse_rescued_by_lord;ìŠäÁÌ«È ©´ëŠ¬³çÆÐ äŠ²³Ø;;;;;;;;;;;;;x

opinion_mod_char_meet_npc_good;ª³Ì®´É ìÁÝ ¨³Ì¢³Ø;;;;;;;;;;;;;x
opinion_mod_char_meet_npc_bad;ª³Ì®´É ìÁÝ ¨³Ì¢³Ø;;;;;;;;;;;;;x

opinion_mod_char_save_my_wife;¢´ éŠ«ÈÌùÇ ª´Ý¨¹ÝëÆÐ äŠ²³Ø;;;;;;;;;;;;;x

#------------------------------------------------------------------------------#
# ¯·êŒ°·Ø ïÁÐ°ÈÙ                                                                  #
#------------------------------------------------------------------------------#

CUSTOM_TOOLTIP_GO_ON_A_WALK;«¹Ý¬ÈçÆÐ ª³Ì®´É²³¥³ éˆ¨¹Ì «È¦·Ì¬·¦·Ì ª³¦³ØæÆÐëÆÐ ¨³Ì¢³¡¸ ô¿Ð êŠ «ÈÜêÆÙ¢È¥³. äŒæÆÐçˆéŠ°· èŠ«·Ì¡³çÆÐ «·ÏëÆÐ êŠæˆ «ÈÜäˆ, «³èŠ ¡·Ûæˆ «·Ï¬È è»Û²³Ð êŠæˆ «ÈÜêÆÙ¢È¥³.;;;;;;;;;;;;;x
CUSTOM_TOOLTIP_GO_ON_A_WALK_COOLING_TIME;¬È¢³Ì ª³Ì®´É «È‡Š «ÈÐ¬·Ý ªÈ¡³Ì«È ¬È¢³«µ¨³Ì ²³Ù¢È¥³.;;;;;;;;;;;;;x

#------------------------------------------------------------------------------#
# ª³Ì®´É ¥ÈªÈ¬·Ì                                                                  #
#------------------------------------------------------------------------------#

mod_main_decision_go_on_a_walk;MOD: «¹Ý¬È ª³Ì®´É²³¡È;;;;;;;;;;;;;x
mod_main_decision_go_on_a_walk_desc;[From.GetTitledFirstName]ëÆÌ(åÆÌ) «¹Ý¬È«¸ ª³Ì®´ÉëÆÐ ¢³¡³Ù¢È¥³.;;;;;;;;;;;;;x

#------------------------------------------------------------------------------#
# ª³Ì®´É «È©¸ÌïŒ: «³èŠæˆ ¨³Ì¢³¬È è»Û²³Ø                                              #
#------------------------------------------------------------------------------#

EVTDESC_WLK_1203;êÁâ ê»ÉëÆÌ ²³Ì¬·É²´Ü¥³. [Root.GetTitledFirstName]ëÆÌ(åÆÌ) «³èŠæˆ ¨³Ì¢³¬È è»Û²´Ü¥³...;;;;;;;;;;;;;x
EVTOPTA_WLK_1203;äŒ¦·É¬·¦·É ¡ÈéÁÌ¬·Ìÿ¼ÌëÆÌ ô¾ÜäÁÌ!;;;;;;;;;;;;;x

#------------------------------------------------------------------------------#
# ª³Ì®´É «È©¸ÌïŒ: «ÈÐ©³Ì ¡³ªÈÌ / êŒ°´Û ìÆÝ¡³                                           #
#------------------------------------------------------------------------------#

EVTDESC_WLK_1211;êÁâ ê»ÉëÆÐ ¡·Ï¥·Ì ìÁÝ, [Root.GetTitledFirstName]ëÆÌ(åÆÌ) ¡³ªÈÌ [From.GetTitledFirstName]ëÆÐ(çÆÐ) ¨³Ì¢³Ü¥³. [From.GetSheHeCap]åÆÌ äÆÙ²È [Root.GetTitledFirstName]«¸¡¸ ¥³Ð¦¹ù¼ª· «ÈÌª³²´Ü¥³...;;;;;;;;;;;;;x
EVTOPTA_WLK_1211;[From.GetSheHe]ù¼ ù¿ä‰êÁÐùÇ ²µÝª³Ý«¸ ¥´²³«¹ ¥´ÿ¼;;;;;;;;;;;;;x
EVTOPTB_WLK_1211;[From.GetSheHe]ù¼ ò¼Ì¦ÈêÁÐùÇ ²µÝª³Ý«¸ ¥´²³«¹ ¥´ÿ¼;;;;;;;;;;;;;x
EVTOPTC_WLK_1211;[From.GetSheHe]ù¼ ëÆØèˆ¦¹ÉùÇ ²µÝª³Ý«¸ ¥´²³«¹ ¥´ÿ¼;;;;;;;;;;;;;x
EVTOPTD_WLK_1211;[From.GetSheHe]ù¼ ²³É¦¹ÉùÇ ²µÝª³Ý«¸ ¥´²³«¹ ¥´ÿ¼;;;;;;;;;;;;;x
EVTOPTE_WLK_1211;[From.GetSheHe]ù¼ èŠ¦¹ÉùÇ ²µÝª³Ý«¸ ¥´²³«¹ ¥´ÿ¼;;;;;;;;;;;;;x
EVTOPTF_WLK_1211;[From.GetSheHe]ù¼ «ÈÐª³Ý¬·É«ÈÌ ¥´ÿ¼çÆÐ ¢³åÁÌ¥³.;;;;;;;;;;;;;x

#------------------------------------------------------------------------------#
# ª³Ì®´É «È©¸ÌïŒ: ä»ÝëÀÝ / ëŠ‡ˆæˆ ìÆÝ¡³                                              #
#------------------------------------------------------------------------------#

EVTDESC_WLK_1212_1;êÁâ ê»ÉëÆÐ ¡·Ï¥·Ì ìÁÝ, [Root.GetTitledFirstName]ëÆÌ(åÆÌ) ¡³ªÈÌ [From.GetTitledFirstName]ëÆÐ(çÆÐ) ¨³Ì¢³Ü¥³. äŒæÆÐëÆÌ ¬³ØªÈ æ»Ý«³Ì «È¦·Ì ¬·¦·Ì «È«µ¡ÈçÆÐ ¢³åŠ«·Üäˆ, [Root.GetTitledFirstName]ùÇ ¬·É¥³Ý²³Ì ®ÈÝ®³Ì«¸ [From.GetSheHe]åÆÌ ¡ÈéÁÌ«È ì»ã«³¬ÈÌ ¡·Û ¡³á¥³..;;;;;;;;;;;;;x
