#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#The society name
 ;The Tutorial Society;;;;;;;;;;;;;x
#The society description
tutorial_society_desc;Write description here.;;;;;;;;;;;;;x
#Leader description
tutorial_society_leader_desc;The description of the leader of the society.;;;;;;;;;;;;;x
#Name of the ranks
tutorial_society_rank_1_female;Tuto;;;;;;;;;;;;;x
tutorial_society_rank_2_female;Rial;;;;;;;;;;;;;x
tutorial_society_rank_3_female;Soci;;;;;;;;;;;;;x
tutorial_society_rank_4_female;Ety;;;;;;;;;;;;;x
tutorial_society_rank_1_male;Tuto;;;;;;;;;;;;;x
tutorial_society_rank_2_male;Rial;;;;;;;;;;;;;x
tutorial_society_rank_3_male;Soci;;;;;;;;;;;;;x
tutorial_society_rank_4_male;Ety;;;;;;;;;;;;;x
#Name of the currency
tutorial_society_currency;Tutorial Points;;;;;;;;;;;;;x
#Rank up button name
request_to_rank_up_within_tutorial_society;Request to rank up.;;;;;;;;;;;;;x
#For tooltip that require being a member
IS_tutorial_society_TRIGGER;Is a member of the Tutorial Society.;;;;;;;;;;;;;x

#Name of the decision
tutorial_society_power_1;Trade Tutorial Points for gold!;;;;;;;;;;;;;x
#Tooltip of the decision
tutorial_society_power_1_desc;Trade Tutorial Points for gold, the description.;;;;;;;;;;;;;x
#Tooltip of the decision in the society menu
tutorial_society_power_1_power_desc;Trade Tutorial Points for gold, the power description.;;;;;;;;;;;;;x
 
#This event is for joining
EVTDESC_TUTOSOCI_102;You want to join my glorious society?;;;;;;;;;;;;;x
EVTOPTA_TUTOSOCI_102;Yes sir.;;;;;;;;;;;;;x
EVTOPTB_TUTOSOCI_102;I'm not so sure anymore.;;;;;;;;;;;;;x

#This event is for rank up
EVTDESC_TUTOSOCI_122;Greetings [Root.GetSocietyRank] [Root.GetFirstName],\nYou can rank up. [Root.Society.GetName].\n\nSigned,\n[From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
EVTOPTA_EVTDESC_TUTOSOCI_122_122;Great.;;;;;;;;;;;;;x

#Name for a quest
quest_tutorial_quest_1;Press the button;;;;;;;;;;;;;x
#Name for a quest if there is no quest target
quest_tutorial_quest_1_fallback;Press the button;;;;;;;;;;;;;x
quest_tutorial_quest_1_desc;Press the button and gain gold!;;;;;;;;;;;;;x
quest_tutorial_quest_1_tooltip;Press the button in the intrige menu.;;;;;;;;;;;;;x

#Start Quest event
EVTDESC_TUTOSOCI_141;You want a quest?;;;;;;;;;;;;;x

#End Quest event
EVTDESC_TUTOSOCI_142;You want to complete or fail the quest?;;;;;;;;;;;;;x
EVTOPTA_TUTOSOCI_142;Complete it.;;;;;;;;;;;;;x
EVTOPTB_TUTOSOCI_142;Fail it..;;;;;;;;;;;;;x
