EVTDESC_manicheanplaceholder_20000;You have begun preparations for the Bema Feast, to celebrate the life and death of the Prophet Mani. You send out messengers with invitations to your vassals, expecting all to come and honor [Root.Religion.GetRandomGodName].;;;;;;;;;;;;;x
EVTOPTA_manicheanplaceholder_20000;Come all to celebrate!;;;;;;;;;;;;;x
EVTDESC_manicheanplaceholder_20001;Dear vassal,\nI hereby invite you to attend the celebration of the Bema Feast at [From.Capital.GetName].\n\nYour Liege,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTA_manicheanplaceholder_20001;I look forward to it!;;;;;;;;;;;;;x
EVTDESC_manicheanplaceholder_20002;Your vassal, [From.GetTitledName], has refused your invitation to the Bema Feast;;;;;;;;;;;;;x
EVTOPTA_manicheanplaceholder_20002;Well, I don't like him either;;;;;;;;;;;;;x
EVTDESC_manicheanplaceholder_20020;Guests have arrived from villages throughout the realm, to celebrate the Bema Feast.;;;;;;;;;;;;;x
EVTOPTA_manicheanplaceholder_20020;Let's get this party started!;;;;;;;;;;;;;x
EVTDESC_manicheanplaceholder_20096;The Bema Feast is over for this time. Another celebration of Light to drive back the Darkness.;;;;;;;;;;;;;x
EVTOPTA_manicheanplaceholder_20096;Until next time!;;;;;;;;;;;;;x
EVTTITLE_manicheanplaceholder_20030;The Singing of Hymns;;;;;;;;;;;;;x
EVTDESC_manicheanplaceholder_20030;The Bema Feast starts with the singing of various Hymns, that celebrate the return of Spring, the life and death of the Prophet Mani, and the battles the Forces of Light have won over the Armies of Darkness, as well as Hymns of praise to  [Root.Religion.GetRandomGodName].;;;;;;;;;;;;;x
EVTOPTA_manicheanplaceholder_20030;Let us raise our voices together in song!;;;;;;;;;;;;;x
EVTDESC_manicheanplaceholder_20036;As you raise your voice in song, people around you shy away. It turns out you have a singing voice resembling a frog being stepped on.;;;;;;;;;;;;;x
EVTOPTA_manicheanplaceholder_20036;I'll never sing in public again!;;;;;;;;;;;;;x
EVTDESC_manicheanplaceholder_20037;The Hymns have made a powerful influence on you. The singing is an almost otherworldly experience, filling you with zeal;;;;;;;;;;;;;x
EVTOPTA_manicheanplaceholder_20037;For the glory of [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x
EVTTITLE_manicheanplaceholder_20040;The Feast of the Elect;;;;;;;;;;;;;x
EVTDESC_manicheanplaceholder_20040;Only the Elect are invited to take part in a ritual meal, that both symbolizes the life of Mani and the theology of the Manicheans. To take part is a great honor;;;;;;;;;;;;;x
EVTOPTA_manicheanplaceholder_20040;Honor and Glory;;;;;;;;;;;;;x
EVTTITLE_manicheanplaceholder_20050;The Presentation of the Arzhang;;;;;;;;;;;;;x
EVTDESC_manicheanplaceholder_20050;The Arzhang, or Picture Book, is a work painted by Mani himself, which depicts the Manichean theology in simple terms, so that even the uneducated can read and understand the faith. The book rests on the bema until the feast is over, after which a priest recites stories and sermons from it to the waiting crowd, an always popular form of entertainment.;;;;;;;;;;;;;x
EVTOPTA_manicheanplaceholder_20050;Imagine how popular it would be if the pictures could move!;;;;;;;;;;;;;x
EVTDESC_manicheanplaceholder_20060;The final ceremony the ritual absolution of sins, allowing each Manichean to start the new year fresh, which signals the end of the feast. Afterwards, the crowds start to break up and the people begin to filter back to their homes. The Bema Feast is over for this year;;;;;;;;;;;;;x
EVTOPTA_manicheanplaceholder_20060;Praise [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x
EVTDESC_manicheanplaceholder_20025;It is customary to fast in religious reflection before the start of the Bema Feast. Should you take part in this tradition?;;;;;;;;;;;;;x
EVTOPTA_manicheanplaceholder_20025;I will fast for a week;;;;;;;;;;;;;x
EVTOPTB_manicheanplaceholder_20025;I will fast for the next three days;;;;;;;;;;;;;x
EVTOPTC_manicheanplaceholder_20025;Go without food?;;;;;;;;;;;;;x
observe_bema_feasting;The Bema Feast;;;;;;;;;;;;;x
observe_bema_feasting_desc;Invite all your vassals to celebrate the New Year;;;;;;;;;;;;;x
holding_bema_feast;Holding Bema Feast;;;;;x
holding_bema_feast_desc;This character is holding a Bema Feast;;;;;;x
