khurmazta;Khurmazta;;;;;;;;;;;;;x
khurmazta_DESC;Khurmazta is syncretic form of Zoroastrianism which was practiced among Sogdians. It mixes Zoroastrianism with Hinduism, Buddhism, Manichaeism and various pagan religions. Aside from Khurmazta (Zarvana), lesser deities such as Weshparkar (Wind God) are worshiped and made offerings, usually in form of small statues.;;;;;;;;;;;;;x
khurmazta_FEATURES;§Y*§! Rulers may select a lesser deity to honor.;;;;;;;;;;;;;x

GOD_DESI;Desi;;;;;;;;;;;;;x
GOD_WESHPARKAR;Weshparkar;;;;;;;;;;;;;x
GOD_PARN;Parn;;;;;;;;;;;;;x
GOD_NANAIYA;Nanaiya;;;;;;;;;;;;;x
GOD_WISHAGHN;Wishaghn;;;;;;;;;;;;;x

patrons_khu;Choose a deity;;;;;;;;;;;;;x
patrons_khu_desc;You can choose a personal patron from among the many lesser deities of Zarvanan faith.;;;;;;;;;;;;x
PATRONS_KHU.1.desc;I should dedicate myself to a particular deity so that I may rule more effectively.;;;;;;;;;;;;x
PATRONS_KHU.1.a;Desi, the Bountiful one.;;;;;;;;;;;;x
PATRONS_KHU.1.b;Parn, God of Fortune;;;;;;;;;;;;x
PATRONS_KHU.1.c;Nanaiya, the Sensual one;;;;;;;;;;;;x
PATRONS_KHU.1.d;There are others...;;;;;;;;;;;;x
PATRONS_KHU.2.desc;Choosing any of these as a personal deity would be a testament to my piety.;;;;;;;;;;;;x
PATRONS_KHU.2.a;Weshparkar, the Wind god.;;;;;;;;;;;;x
PATRONS_KHU.2.b;Wishaghn, God of Victory;;;;;;;;;;;;x
PATRONS_KHU.2.c;Zurvan, God of Time;;;;;;;;;;;;x
PATRONS_KHU.2.d;On second thought...;;;;;;;;;;;;x
patron_Desi;Honoring Desi;;;;;;;;;;;;x
patron_Parn;Honoring Parn;;;;;;;;;;;;x
patron_Nanaiya;Honoring Nanaiya;;;;;;;;;;;;x
patron_Weshparkar;Honoring Weshparkar;;;;;;;;;;;;x
patron_Wishaghn;Honoring Wishaghn;;;;;;;;;;;;x
patron_zurvan;Honoring Zurvan;;;;;;;;;;;;x
