#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RP_christmas.1.desc;No celebrations can be what it is if it were not for the delicious food served, but how much are we willing to spend on it?;;;;;;;;;x
RP_christmas.1.option1;Only the best is enough!;;;;;;;;;x
RP_christmas.1.option2;A moderate spend should be enough.;;;;;;;;;x
RP_christmas.1.option3;Sounds expensive...;;;;;;;;;x
RP_christmas.1.option4;MY COINS! Gollum* Gollum* Gollum*;;;;;;;;;x
RP_christmas.2.desc;No christmas is a real one if you do not have any christmas decorations to decorate your home with. For the peasants it migth be enough with some holly here and there, but for a [Root.GetTitle] like yourself that will not do!;;;;;;;;;x
RP_christmas.2.option1;It is christmas!;;;;;;;;;x
RP_christmas.2.option2;Let us not go to the extreme here...;;;;;;;;;x
RP_christmas.2.option3;I think I will skip it this year. But maybe next year though...;;;;;;;;;x
RP_christmas.3.desc;No celebration is a real one without the guests. Your servants have written tons of invitations so the only thing we can do now is to hope that they will answer it!;;;;;;;;;x
RP_christmas.3.option1;Send out the invitations!;;;;;;;;;x
RP_christmas.4.desc;[Root.GetLiege] has invited you to his christmas clebrations this year. Will you come?;;;;;;;;;x
RP_christmas.4.option1;Attend to the celebrations;;;;;;;;;x
RP_christmas.4.option2;Refuse;;;;;;;;;x
RP_christmas.5.desc;I am sad to inform you that I due to several important matters that I have to attend to immediately, so can I sadly not attend to your christmas celebration this year.;;;;;;;;;x
RP_christmas.5.option1;Eh, excuses! All lies of course.;;;;;;;;;x
RP_christmas.6.desc;The guests have finally arrived after their long travel from their isolated holdings. You greet them and show them into your home to let them rest after their tiring journey.;;;;;;;;;x
RP_christmas.6.option1;What a great time we will have!;;;;;;;;;x
RP_christmas.7.desc;After a long and tiring journey through [Kingdom.GetName] you have finally arrived to [Liege.GetTitledName] christmas celebration this year.;;;;;;;;;x
RP_christmas.7.option1;Finally!;;;;;;;;;x
RP_christmas.8.desc;The table was crowded with luxurious meals from every corner of the world and there were plenty of exotic wines to drink. But there were also the traditional christmas dishes that were served in this new, exotic and so delicious style.;;;;;;;;;x
RP_christmas.8.option1;Two, no three portions of that delicious stew,please!;;;;;;;;;x
RP_christmas.8.option2;I do not like it!;;;;;;;;;x
RP_christmas.8.option3;Ehh..... Um.......;;;;;;;;;x
RP_christmas.9.desc;The table was filled with the different dishes that you are expected to eat at christmas, but there are no new,exotic or particularly delicious dishes served as you and the other guests were expecting.;;;;;;;;;x
RP_christmas.9.option1;Eh, foreigners can not cook as well as what is served here anyway!;;;;;;;;;x
RP_christmas.9.option2;What a dissapointment...;;;;;;;;;x
RP_christmas.9.option3;Ehh...... Ummm.....;;;;;;;;;x
RP_christmas.10.desc;There were only a few pieces of bread and a few bottles of cheap ale served. Many of the other guests were very dissapinted and you could feel their anger at this greedy behaviour of [Liege.GetFirstNameWithNick].;;;;;;;;;x
RP_christmas.10.option1;I have always liked rye loaf!;;;;;;;;;x
RP_christmas.10.option2;Where is the real food!;;;;;;;;;x
RP_christmas.10.option3;Ehh..... Umm.......;;;;;;;;;x
RP_christmas.11.desc;There are christmas decorations in every corner of every room, no wall is left untouched when [From.Liege.GetName] celebrates christmas!;;;;;;;;;x
RP_christmas.11.option1;As it should be!;;;;;;;;;x
RP_christmas.11.option2;I do NOT like it!;;;;;;;;;x
RP_christmas.11.option3;Ehhh...... Ummm.......;;;;;;;;;x
RP_christmas.12.desc;[From.GetName] likes your decision concerning the christmas decorations and [From.GetSheHe] have spoken loudly about how smart of a decision it was.;;;;;;;;;x
RP_christmas.12.option1;I always knew [From.GetName] could be trusted!;;;;;;;;;x
RP_christmas.13.desc;[From.GetName] have spoken loudly about how [From.GetSheHe] dissaproves of your decision concerning the christmas decorations.;;;;;;;;;x
RP_christmas.13.option1;How dare [From.GetSheHe] critize me!;;;;;;;;;x
RP_christmas.14.desc;There are christmas decorations in all of the major rooms but the outer walls are barren and it is the same with the staffs personal quarters.;;;;;;;;;x
RP_christmas.14.option1;Well done [Root.Liege.GetName]!;;;;;;;;;x
RP_christmas.14.option2;I do NOT like it!;;;;;;;;;x
RP_christmas.14.option3;Ehhh..... Ummmm........;;;;;;;;;x
